,rpmSetPoint,ist_acc,bearingsCelsius,VibromPeak,statoRot,numTP,@timestamp,UTE,statorCelsius,spindleRpm,LUNG,CurrentPeak,idChiave,DIAM
0,0.0,2815760,0.0,,1,,2022-02-09T13:37:36.391Z,,0.0,0.0,,6.208,43266,
1,0.0,2840795,0.0,,1,19,2022-02-09T13:41:46.746Z,LAINTEST,0.0,0.0,1.0,20.205,43268,50.0
2,0.0,2868275,0.0,,1,,2022-02-09T13:46:21.551Z,,0.0,0.0,,6.371,43272,
3,0.0,2893561,0.0,,1,19,2022-02-09T13:50:34.416Z,LAINTEST,0.0,0.0,1.0,20.145,43274,50.0
4,0.0,181880,0.0,,1,,2022-02-10T06:21:26.692Z,,0.0,0.0,,12.284,43278,
5,0.0,208246,0.0,,1,19,2022-02-10T06:25:50.356Z,LAINTEST,0.0,0.0,1.0,20.205,43280,50.0
6,7500.0,2796652,27.0,1.3,1,1,2022-02-09T13:34:25.308Z,AGGRE44-1-SAEGE200,29.0,7527.1,1.55,15.097,43265,197.475
7,18000.0,2824204,27.0,1.0,1,1,2022-02-09T13:39:00.833Z,HM10_MM,27.0,18068.0,122.459,30.597,43267,9.75
8,12000.0,2843747,29.0,2.5,1,1,2022-02-09T13:42:16.267Z,MULTI_A_R2-1-ET01_MULTI_A_R2,30.0,12041.0,0.01,35.029,43269,4.0
9,12000.0,2847864,28.0,2.7,1,1,2022-02-09T13:42:57.438Z,MULTI_A_R2-1-ET01_MULTI_A_R2,30.0,12082.0,0.01,32.178,43270,4.0
10,7500.0,2852592,28.0,1.2,1,1,2022-02-09T13:43:44.718Z,AGGRE44-1-SAEGE200,30.0,7479.5,1.55,32.271,43271,197.475
11,18000.0,2876707,27.0,1.0,1,1,2022-02-09T13:47:45.873Z,HM10_MM,25.0,18060.0,122.459,36.021,43273,9.75
12,12000.0,2896533,28.0,2.4,1,1,2022-02-09T13:51:04.137Z,MULTI_A_R2-1-ET01_MULTI_A_R2,29.0,12081.0,0.01,22.506,43275,4.0
