,ist_acc,@timestamp,numTP,statorCelsius,UTE,idChiave,VibromPeak,DIAM,CurrentPeak,spindleRpm,rpmSetPoint,LUNG,bearingsCelsius,statoRot
0,189878,2021-11-09T09:42:02.409Z,1,17.0,AGGRE124-1-ET01_AGGRE124,6603,0.7,4.0,11.8,12176.0,12000.0,0.01,19.0,1
1,222930,2021-11-09T09:47:32.935Z,1,17.0,FRESA_22,6604,0.8,22.0,13.5,18193.0,18000.0,117.62,19.0,1
2,283170,2021-11-09T09:57:35.346Z,1,17.0,AGGRE44-1-LAMA215,6605,8.3,215.0,32.7,8005.199,8000.0,2.05,18.0,1
3,286055,2021-11-09T09:58:04.197Z,1,18.0,AGGRE124-1-ET01_AGGRE124,6606,0.7,4.0,11.8,12146.0,12000.0,0.01,19.0,1
4,688996,2021-11-11T09:55:36.224Z,1,16.0,WIR_22X130,6607,0.4,16.0,13.1,18183.0,18000.0,130.0,18.0,1
5,696695,2021-11-11T09:56:53.215Z,1,18.0,AGGRE44-1-LAMA215,6608,7.6,215.0,32.799,8015.0,8000.0,2.05,18.0,1
6,699606,2021-11-11T09:57:22.326Z,1,19.0,AGGRE124-1-ET01_AGGRE124,6609,0.7,4.0,12.0,12166.0,12000.0,0.01,19.0,1
7,1247375,2021-11-11T11:28:40.124Z,1,16.0,WIR_22X130,6610,0.4,16.0,13.0,18191.0,18000.0,130.0,18.0,1
8,1257483,2021-11-11T11:30:21.206Z,1,19.0,AGGRE44-1-LAMA215,6611,6.8,215.0,32.799,8012.899,8000.0,2.05,19.0,1
9,1260021,2021-11-11T11:30:46.586Z,1,20.0,AGGRE124-1-ET01_AGGRE124,6612,0.5,4.0,11.9,12159.0,12000.0,0.01,19.0,1
10,1326617,2021-11-11T11:41:52.560Z,1,17.0,WIR_22X130,6613,0.4,16.0,13.0,18203.0,18000.0,130.0,19.0,1
11,1333282,2021-11-11T11:42:59.211Z,1,19.0,AGGRE44-1-LAMA215,6614,4.1,215.0,32.5,8002.399,8000.0,2.05,19.0,1
12,1335762,2021-11-11T11:43:24.011Z,1,20.0,AGGRE124-1-ET01_AGGRE124,6615,0.5,4.0,11.9,12170.0,12000.0,0.01,19.0,1
13,1388604,2021-11-11T11:52:12.442Z,1,21.0,WIR_22X130,6616,0.4,16.0,12.9,18198.0,18000.0,130.0,21.0,1
14,1395194,2021-11-11T11:53:18.343Z,1,22.0,AGGRE44-1-LAMA215,6617,5.6,215.0,32.799,8006.6,8000.0,2.05,21.0,1
15,1397683,2021-11-11T11:53:43.234Z,1,22.0,AGGRE124-1-ET01_AGGRE124,6618,0.6,4.0,11.8,12170.0,12000.0,0.01,21.0,1
16,1804681,2021-11-11T13:01:33.295Z,1,17.0,WIR_22X130,6619,0.4,16.0,13.2,18183.0,18000.0,130.0,19.0,1
17,1842266,2021-11-11T13:07:49.153Z,1,17.0,AGGRE44-1-LAMA215,6620,7.8,215.0,32.5,7999.6,8000.0,2.05,19.0,1
18,1845010,2021-11-11T13:08:16.593Z,1,18.0,AGGRE124-1-ET01_AGGRE124,6621,0.4,4.0,11.8,12162.0,12000.0,0.01,19.0,1
19,1877738,2021-11-11T13:13:43.880Z,1,18.0,WIR_22X130,6622,0.4,16.0,13.2,18189.0,18000.0,130.0,19.0,1
20,1884377,2021-11-11T13:14:50.271Z,1,19.0,AGGRE44-1-LAMA215,6623,5.9,215.0,32.7,8008.0,8000.0,2.05,19.0,1
21,1886877,2021-11-11T13:15:15.272Z,1,20.0,AGGRE124-1-ET01_AGGRE124,6624,0.7,4.0,11.8,12165.0,12000.0,0.01,20.0,1
22,1951249,2021-11-11T13:25:59.005Z,1,19.0,AGGRE44-1-LAMA215,6626,5.4,215.0,32.7,8011.5,8000.0,2.05,20.0,1
23,1953753,2021-11-11T13:26:24.045Z,1,20.0,AGGRE124-1-ET01_AGGRE124,6627,0.4,4.0,11.8,12160.0,12000.0,0.01,20.0,1
24,1994886,2021-11-11T13:33:15.383Z,1,18.0,WIR_22X130,6628,0.4,16.0,13.1,18202.0,18000.0,130.0,20.0,1
25,108628,2021-11-11T14:07:24.951Z,1,17.0,WIR_22X130,6629,0.5,16.0,13.3,18205.0,18000.0,130.0,19.0,1
26,114976,2021-11-11T14:08:28.432Z,1,19.0,AGGRE44-1-LAMA215,6630,1.8,215.0,32.7,8001.699,8000.0,2.05,19.0,1
27,117579,2021-11-11T14:08:54.462Z,1,20.0,SPIGOLATORE,6631,0.4,60.0,13.0,7186.0,7000.0,214.0,19.0,1
28,116788,2021-11-11T14:08:46.552Z,1,19.0,SPIGOLATORE,6631,0.3,60.0,11.7,7129.0,7000.0,214.0,19.0,1
29,119996,2021-11-11T14:09:18.633Z,1,20.0,AGGRE124-1-ET01_AGGRE124,6632,0.7,4.0,11.8,12166.0,12000.0,0.01,19.0,1
30,143054,2021-11-11T14:13:09.217Z,1,19.0,WIR_22X130,6633,0.4,16.0,13.3,18193.0,18000.0,130.0,20.0,1
31,149383,2021-11-11T14:14:12.508Z,1,20.0,AGGRE44-1-LAMA215,6634,6.2,215.0,32.799,8001.699,8000.0,2.05,20.0,1
32,152551,2021-11-11T14:14:44.189Z,1,21.0,SPIGOLATORE,6635,0.4,60.0,11.6,0.0,0.0,214.0,20.0,1
33,153332,2021-11-11T14:14:51.999Z,1,21.0,SPIGOLATORE,6635,0.4,60.0,13.1,7182.0,7000.0,214.0,20.0,1
34,155752,2021-11-11T14:15:16.200Z,1,21.0,AGGRE124-1-ET01_AGGRE124,6636,0.8,4.0,11.8,12160.0,12000.0,0.01,20.0,1
35,182744,2021-11-11T14:19:46.124Z,1,19.0,WIR_22X130,6637,0.3,16.0,13.2,18189.0,18000.0,130.0,20.0,1
36,189074,2021-11-11T14:20:49.425Z,1,20.0,AGGRE44-1-LAMA215,6638,5.0,215.0,32.599,8001.0,8000.0,2.05,20.0,1
37,192237,2021-11-11T14:21:21.056Z,1,21.0,SPIGOLATORE,6639,0.4,60.0,11.7,0.0,0.0,214.0,21.0,1
38,193018,2021-11-11T14:21:28.866Z,1,21.0,SPIGOLATORE,6639,0.4,60.0,13.0,7179.0,7000.0,214.0,21.0,1
39,195438,2021-11-11T14:21:53.067Z,1,22.0,AGGRE124-1-ET01_AGGRE124,6640,0.8,4.0,11.8,12157.0,12000.0,0.01,21.0,1
40,206459,2021-11-11T14:23:43.279Z,1,21.0,WIR_22X130,6641,0.4,16.0,13.3,18154.0,18000.0,130.0,21.0,1
41,212791,2021-11-11T14:24:46.600Z,1,22.0,AGGRE44-1-LAMA215,6642,3.6,215.0,32.5,7996.1,8000.0,2.05,21.0,1
42,215934,2021-11-11T14:25:18.030Z,1,22.0,SPIGOLATORE,6643,0.4,60.0,11.6,0.0,0.0,214.0,21.0,1
43,216715,2021-11-11T14:25:25.841Z,1,23.0,SPIGOLATORE,6643,0.4,60.0,12.8,7173.0,7000.0,214.0,21.0,1
44,231734,2021-11-11T14:27:56.033Z,1,21.0,WIR_22X130,6644,0.3,16.0,13.2,18169.0,18000.0,130.0,21.0,1
45,238067,2021-11-11T14:28:59.364Z,1,22.0,AGGRE44-1-LAMA215,6645,9.1,215.0,32.799,8001.699,8000.0,2.05,21.0,1
46,241226,2021-11-11T14:29:30.955Z,1,22.0,SPIGOLATORE,6646,0.3,60.0,11.6,0.0,0.0,214.0,21.0,1
47,242007,2021-11-11T14:29:38.765Z,1,22.0,SPIGOLATORE,6646,0.4,60.0,12.6,7177.0,7000.0,214.0,21.0,1
48,244426,2021-11-11T14:30:02.956Z,1,23.0,AGGRE124-1-ET01_AGGRE124,6647,0.7,4.0,11.7,12169.0,12000.0,0.01,21.0,1
49,388172,2021-11-11T14:54:00.442Z,1,18.0,WIR_22X130,6648,0.4,16.0,13.2,18188.0,18000.0,130.0,20.0,1
50,427356,2021-11-11T15:00:32.289Z,1,19.0,WIR_22X130,6649,0.4,16.0,13.1,18186.0,18000.0,130.0,20.0,1
51,494671,2021-11-11T15:11:45.451Z,1,18.0,AGGRE44-1-LAMA215,6650,3.7,215.0,32.799,8005.199,8000.0,2.05,20.0,1
52,497006,2021-11-11T15:12:08.801Z,1,19.0,AGGRE44-1-LAMA215,6651,3.7,215.0,32.4,8006.6,8000.0,2.05,20.0,1
53,500044,2021-11-11T15:12:39.182Z,1,20.0,AGGRE124-1-ET01_AGGRE124,6652,0.5,4.0,11.8,12163.0,12000.0,0.01,20.0,1
54,254694,2021-11-12T07:42:33.956Z,1,16.0,WIR_22X130,6653,0.4,16.0,13.6,18176.0,18000.0,130.0,18.0,1
55,261412,2021-11-12T07:43:41.136Z,1,17.0,AGGRE44-1-LAMA215,6654,6.5,215.0,32.7,7994.0,8000.0,2.05,18.0,1
56,263901,2021-11-12T07:44:06.027Z,1,18.0,AGGRE124-1-ET01_AGGRE124,6655,0.5,4.0,11.9,12159.0,12000.0,0.01,18.0,1
57,303412,2021-11-12T07:50:41.140Z,1,17.0,WIR_22X130,6656,0.5,16.0,13.6,18176.0,18000.0,130.0,18.0,1
58,310041,2021-11-12T07:51:47.430Z,1,18.0,AGGRE44-1-LAMA215,6657,8.1,215.0,32.7,7999.6,8000.0,2.05,19.0,1
59,312532,2021-11-12T07:52:12.340Z,1,19.0,AGGRE124-1-ET01_AGGRE124,6658,0.5,4.0,11.9,12167.0,12000.0,0.01,19.0,1
60,644403,2021-11-12T08:47:31.080Z,1,17.0,WIR_22X130,6659,0.4,16.0,13.6,18172.0,18000.0,130.0,19.0,1
61,651042,2021-11-12T08:48:37.471Z,1,18.0,AGGRE44-1-LAMA215,6660,6.6,215.0,32.599,7996.1,8000.0,2.05,19.0,1
62,653531,2021-11-12T08:49:02.361Z,1,19.0,AGGRE124-1-ET01_AGGRE124,6661,0.5,4.0,11.8,12156.0,12000.0,0.01,19.0,1
