,CurrentPeak,bearingsCelsius,statorCelsius,spindleRpm,LUNG,idChiave,numTP,@timestamp,ist_acc,UTE,rpmSetPoint,VibromPeak,statoRot,DIAM
0,17.285,45.0,48.0,17987.0,110.669,3227,1,2021-07-08T09:09:29.454Z,1159341,006-22-1-E,18000.0,1.6,1,6.0
1,13.248,34.0,33.0,18012.0,117.148,3228,1,2021-07-08T10:54:49.724Z,1791360,030-27-2-C,18000.0,1.9,1,3.0
2,19.306,34.0,35.0,19993.0,93.051,3229,1,2021-07-08T10:55:52.905Z,1797678,001-12-1-E,20000.0,1.3,1,1.5
3,19.517,38.0,45.0,19989.0,101.574,3230,1,2021-07-08T11:00:08.088Z,1823196,004-13-1-E,20000.0,1.5,1,4.0
4,17.056,41.0,49.0,18006.0,112.12,3231,1,2021-07-08T11:03:50.411Z,1845428,008-24-1-E,18000.0,1.0,1,8.0
5,7.571,0.0,0.0,0.0,,3325,,2021-07-13T06:04:57.961Z,119169,,0.0,,1,
6,17.73,44.0,53.0,18001.0,110.669,3232,1,2021-07-08T11:07:37.284Z,1868115,006-22-1-E,18000.0,1.3,1,6.0
7,17.484,44.0,47.0,17999.0,110.669,3233,1,2021-07-08T11:22:41.865Z,1958572,006-22-1-E,18000.0,1.7,1,6.0
8,13.007,42.0,43.0,18016.0,117.148,3234,1,2021-07-08T12:12:17.362Z,2256118,030-27-2-C,18000.0,1.9,1,3.0
9,20.326,42.0,45.0,19983.0,93.051,3235,1,2021-07-08T12:13:20.533Z,2262435,001-12-1-E,20000.0,2.0,1,1.5
10,19.148,44.0,51.0,20005.0,101.574,3236,1,2021-07-08T12:17:35.716Z,2287953,004-13-1-E,20000.0,1.8,1,4.0
11,16.552,45.0,54.0,17995.0,112.12,3237,1,2021-07-08T12:21:17.889Z,2310170,008-24-1-E,18000.0,1.0,1,8.0
12,17.806,45.0,55.0,18004.0,110.669,3238,1,2021-07-08T12:25:04.712Z,2332852,006-22-1-E,18000.0,1.4,1,6.0
13,18.064,45.0,49.0,18002.0,110.669,3239,1,2021-07-08T12:39:10.323Z,2417412,006-22-1-E,18000.0,1.5,1,6.0
14,13.324,41.0,42.0,18004.0,117.148,3240,1,2021-07-08T13:29:55.191Z,2721895,030-27-2-C,18000.0,1.8,1,3.0
15,19.412,41.0,44.0,19989.0,93.051,3241,1,2021-07-08T13:30:58.692Z,2728245,001-12-1-E,20000.0,1.8,1,1.5
16,19.974,44.0,51.0,19995.0,101.574,3242,1,2021-07-08T13:35:13.435Z,2753719,004-13-1-E,20000.0,1.9,1,4.0
17,17.179,45.0,54.0,18016.0,112.12,3243,1,2021-07-08T13:38:55.658Z,2775941,008-24-1-E,18000.0,1.1,1,8.0
18,17.15,45.0,55.0,18011.0,110.669,3244,1,2021-07-08T13:42:42.420Z,2798617,006-22-1-E,18000.0,1.8,1,6.0
19,17.912,45.0,49.0,18000.0,110.669,3245,1,2021-07-08T13:56:24.241Z,2880798,006-22-1-E,18000.0,1.9,1,6.0
20,17.226,42.0,43.0,17997.0,112.12,3246,1,2021-07-08T14:46:53.479Z,3183718,008-24-1-E,18000.0,1.0,1,8.0
21,17.332,42.0,45.0,17992.0,112.12,3247,1,2021-07-08T14:48:00.630Z,3190433,008-24-1-E,18000.0,1.3,1,8.0
22,17.039,42.0,45.0,18007.0,112.12,3248,1,2021-07-08T14:50:10.871Z,3203457,008-24-1-E,18000.0,1.2,1,8.0
23,17.273,42.0,46.0,17999.0,112.12,3249,1,2021-07-08T14:51:26.482Z,3211018,008-24-1-E,18000.0,1.2,1,8.0
24,16.611,42.0,46.0,18019.0,112.12,3250,1,2021-07-08T14:52:57.773Z,3220147,008-24-1-E,18000.0,1.0,1,8.0
25,17.226,42.0,46.0,17999.0,112.12,3251,1,2021-07-08T14:54:36.105Z,3229980,008-24-1-E,18000.0,1.1,1,8.0
26,15.755,27.0,26.0,5001.0,112.12,3252,1,2021-07-09T06:06:38.659Z,61568,008-24-1-E,5000.0,0.4,1,8.0
