,CurrentPeak,statorCelsius,rpmSetPoint,bearingsCelsius,VibromPeak,idChiave,ist_acc,spindleRpm,LUNG,numTP,UTE,@timestamp,statoRot,DIAM
0,13.494,14.0,5000.0,14.0,0.3,1002,176371,4999.0,127.321,1,PUNTA_D5,2021-01-20T14:45:50.207Z,1,5.0
1,13.359,14.0,18000.0,14.0,0.7,1003,179295,18006.0,105.86,1,D6_Z1,2021-01-20T14:46:19.447Z,1,6.0
2,13.417,14.0,5000.0,14.0,0.2,1004,398947,5000.0,127.321,1,PUNTA_D5,2021-01-20T15:22:56.007Z,1,5.0
3,13.095,14.0,750.0,14.0,0.2,1005,401462,752.0,186.0,1,M6,2021-01-20T15:23:21.157Z,1,6.0
4,6.492,14.0,750.0,14.0,0.1,1005,401566,750.0,186.0,1,M6,2021-01-20T15:23:22.197Z,1,6.0
5,11.783,14.0,0.0,14.0,0.1,1005,401799,0.0,186.0,1,M6,2021-01-20T15:23:24.527Z,1,6.0
6,12.791,15.0,0.0,14.0,0.1,1007,416212,0.0,186.0,1,M6,2021-01-20T15:25:48.660Z,1,6.0
7,13.494,15.0,750.0,14.0,0.2,1007,415877,756.0,186.0,1,M6,2021-01-20T15:25:45.310Z,1,6.0
8,6.509,15.0,750.0,14.0,0.1,1007,415979,750.0,186.0,1,M6,2021-01-20T15:25:46.330Z,1,6.0
9,13.324,15.0,5000.0,14.0,0.3,1006,413464,5000.0,127.321,1,PUNTA_D5,2021-01-20T15:25:21.180Z,1,5.0
10,13.265,15.0,5000.0,14.0,0.3,1008,437029,5000.0,127.321,1,PUNTA_D5,2021-01-20T15:29:16.834Z,1,5.0
11,13.113,15.0,750.0,14.0,0.2,1009,439445,741.0,186.0,1,M6,2021-01-20T15:29:40.994Z,1,6.0
12,6.585,15.0,750.0,14.0,0.1,1009,439547,751.0,186.0,1,M6,2021-01-20T15:29:42.014Z,1,6.0
13,13.007,15.0,0.0,14.0,0.1,1009,439792,0.0,186.0,1,M6,2021-01-20T15:29:44.464Z,1,6.0
14,12.82,14.0,18000.0,14.0,0.5,1010,548649,18000.0,109.294,1,D8_Z2_SFERICA,2021-01-20T15:47:53.054Z,1,8.0
15,13.171,21.0,18000.0,19.0,0.6,1011,583375,18014.0,109.294,1,D8_Z2_SFERICA,2021-01-20T15:53:40.320Z,1,8.0
16,13.248,29.0,18000.0,24.0,0.6,1012,614319,18004.0,109.294,1,D8_Z2_SFERICA,2021-01-20T15:58:49.766Z,1,8.0
17,13.359,15.0,18000.0,14.0,1.5,1014,123427,18014.0,109.459,1,D10_Z1,2021-01-22T09:10:20.614Z,1,9.5
18,13.283,13.0,18000.0,14.0,1.0,1013,110979,18015.0,109.459,1,D10_Z1,2021-01-22T09:08:16.133Z,1,9.5
19,13.171,27.0,18000.0,26.0,1.4,1015,350912,18009.0,109.459,1,D10_Z1,2021-01-22T09:48:15.497Z,1,9.5
20,13.207,33.0,18000.0,30.0,0.9,1016,436981,17999.0,109.459,1,D10_Z1,2021-01-22T10:02:36.201Z,1,9.5
21,13.324,22.0,18000.0,22.0,1.1,1017,551752,18002.0,109.459,1,D10_Z1,2021-01-22T10:21:43.931Z,1,9.5
22,13.447,17.0,11000.0,17.0,0.2,1018,1967238,9001.0,165.809,1,D20_Z2,2021-01-22T14:17:39.050Z,1,21.299
23,13.294,25.0,18000.0,21.0,1.0,1019,2009267,17999.0,109.459,1,D10_Z1,2021-01-22T14:24:39.348Z,1,9.5
24,13.341,32.0,18000.0,26.0,1.0,1020,2042361,18004.0,109.459,1,D10_Z1,2021-01-22T14:30:10.294Z,1,9.5
25,13.312,22.0,18000.0,22.0,1.4,1021,2207531,18011.0,109.459,1,D10_Z1,2021-01-22T14:57:42.025Z,1,9.5
26,13.265,24.0,18000.0,24.0,1.4,1022,2386042,18005.0,109.459,1,D10_Z1,2021-01-22T15:27:27.169Z,1,9.5
27,13.388,26.0,18000.0,25.0,1.4,1023,2411381,18004.0,109.459,1,D10_Z1,2021-01-22T15:31:40.564Z,1,9.5
28,13.142,26.0,18000.0,24.0,1.5,1024,2450531,18000.0,109.459,1,D10_Z1,2021-01-22T15:38:12.071Z,1,9.5
29,13.417,24.0,18000.0,23.0,1.4,1025,2493874,17985.0,109.459,1,D10_Z1,2021-01-22T15:45:25.509Z,1,9.5
30,13.294,29.0,18000.0,26.0,1.2,1026,2583553,18007.0,109.459,1,D10_Z1,2021-01-22T16:00:22.316Z,1,9.5
31,13.265,22.0,5000.0,22.0,0.2,1027,2773074,5003.0,127.321,1,PUNTA_D5,2021-01-22T16:31:57.562Z,1,5.0
32,13.207,22.0,5000.0,21.0,0.3,1028,2792750,5002.0,127.321,1,PUNTA_D5,2021-01-22T16:35:14.326Z,1,5.0
33,13.189,21.0,750.0,20.0,0.3,1029,2885156,745.0,186.0,1,M6,2021-01-22T16:50:38.403Z,1,6.0
34,6.644,21.0,750.0,20.0,0.1,1029,2885265,749.0,186.0,1,M6,2021-01-22T16:50:39.493Z,1,6.0
35,12.943,22.0,750.0,20.0,0.3,1030,2887635,740.0,186.0,1,M6,2021-01-22T16:51:03.194Z,1,6.0
36,6.527,22.0,750.0,20.0,0.1,1030,2887816,750.0,186.0,1,M6,2021-01-22T16:51:05.004Z,1,6.0
37,13.57,22.0,0.0,20.0,0.1,1030,2888121,0.0,186.0,1,M6,2021-01-22T16:51:08.054Z,1,6.0
