,idChiave,statorCelsius,LUNG,numTP,spindleRpm,@timestamp,VibromPeak,UTE,statoRot,CurrentPeak,bearingsCelsius,DIAM,rpmSetPoint,ist_acc
0,5096,0.0,,,0.0,2021-05-31T13:27:33.644Z,,,1,7.446,0.0,,0.0,3177696
1,5098,0.0,,,0.0,2021-06-01T06:10:33.336Z,,,1,7.493,0.0,,0.0,621995
2,5100,0.0,,,0.0,2021-06-01T06:21:50.476Z,,,1,7.43,0.0,,0.0,689708
3,5102,0.0,,,0.0,2021-06-01T06:37:19.739Z,,,1,7.179,0.0,,0.0,782633
4,5104,0.0,,,0.0,2021-06-01T07:23:06.347Z,,,1,7.461,0.0,,0.0,1057290
5,5107,0.0,,,0.0,2021-06-01T08:09:55.257Z,,,1,7.4,0.0,,0.0,1338177
6,5109,0.0,,,0.0,2021-06-01T08:17:18.404Z,,,1,7.383,0.0,,0.0,1382491
7,5111,0.0,,,0.0,2021-06-01T08:23:58.699Z,,,1,7.351,0.0,,0.0,1422520
8,5113,0.0,,,0.0,2021-06-01T08:34:32.449Z,,,1,7.367,0.0,,0.0,1485894
9,5115,0.0,,,0.0,2021-06-01T08:42:23.875Z,,,1,7.367,0.0,,0.0,1533036
10,5117,0.0,,,0.0,2021-06-01T08:53:59.395Z,,,1,7.351,0.0,,0.0,1602587
11,5092,25.0,115.05,1,7995.0,2021-05-31T08:45:22.250Z,0.2,TAFELFREES,1,13.423,24.0,137.309,4000.0,1484583
12,5093,26.0,115.05,1,8003.0,2021-05-31T08:58:53.893Z,0.1,TAFELFREES,1,13.246,25.0,137.309,8000.0,1565746
13,5094,25.0,125.344,1,17999.0,2021-05-31T09:45:38.376Z,0.6,SCHROB10MM,1,17.339,25.0,9.6,18000.0,1846190
14,5095,25.0,125.344,1,17999.0,2021-05-31T13:17:42.365Z,0.8,SCHROB10MM,1,17.445,25.0,9.6,18000.0,3118569
15,5097,25.0,125.344,1,18014.0,2021-05-31T13:44:34.830Z,0.8,SCHROB10MM,1,18.408,26.0,9.6,18000.0,3279813
16,5099,25.0,125.344,1,17996.0,2021-06-01T06:13:05.189Z,0.5,SCHROB10MM,1,17.813,24.0,9.6,18000.0,637180
17,5101,24.0,125.344,1,18007.0,2021-06-01T06:24:22.538Z,0.5,SCHROB10MM,1,17.509,24.0,9.6,18000.0,704914
18,5103,26.0,125.344,1,17979.0,2021-06-01T06:39:51.681Z,0.5,SCHROB10MM,1,17.275,25.0,9.6,18000.0,797827
19,5105,25.0,125.344,1,18026.0,2021-06-01T07:23:38.898Z,0.4,SCHROB10MM,1,17.034,25.0,9.6,18000.0,1060545
20,5106,25.0,125.344,1,18009.0,2021-06-01T07:57:09.157Z,0.8,SCHROB10MM,1,17.983,25.0,9.6,18000.0,1261568
21,5108,25.0,125.344,1,18001.0,2021-06-01T08:12:27.300Z,0.6,SCHROB10MM,1,17.983,25.0,9.6,18000.0,1353381
22,5110,26.0,125.344,1,18006.0,2021-06-01T08:19:50.316Z,0.5,SCHROB10MM,1,17.048,26.0,9.6,18000.0,1397682
23,5112,26.0,125.344,1,18000.0,2021-06-01T08:26:30.712Z,0.6,SCHROB10MM,1,18.16,26.0,9.6,18000.0,1437721
24,5114,25.0,125.344,1,17995.0,2021-06-01T08:37:04.361Z,0.4,SCHROB10MM,1,17.509,26.0,9.6,18000.0,1501085
25,5116,26.0,125.344,1,18016.0,2021-06-01T08:44:55.927Z,0.5,SCHROB10MM,1,17.735,27.0,9.6,18000.0,1548241
26,5118,26.0,125.344,1,18017.0,2021-06-01T08:56:31.307Z,0.4,SCHROB10MM,1,17.523,26.0,9.6,18000.0,1617778
27,5119,26.0,125.344,1,18012.0,2021-06-01T09:05:27.945Z,0.7,SCHROB10MM,1,17.947,26.0,9.6,18000.0,1671441
28,5120,25.0,125.344,1,18024.0,2021-06-01T09:22:44.510Z,0.8,SCHROB10MM,1,17.962,26.0,9.6,18000.0,1775096
29,5133,0.0,,,0.0,2021-06-02T11:07:03.649Z,,,1,7.4,0.0,,0.0,2380399
30,5135,0.0,,,0.0,2021-06-02T11:15:32.887Z,,,1,7.351,0.0,,0.0,2431322
31,5137,0.0,,,0.0,2021-06-02T11:22:41.424Z,,,1,7.383,0.0,,0.0,2474175
32,5139,0.0,,,0.0,2021-06-02T11:30:55.282Z,,,1,7.289,0.0,,0.0,2523560
33,5141,0.0,,,0.0,2021-06-02T11:38:14.399Z,,,1,7.257,0.0,,0.0,2567471
34,5143,0.0,,,0.0,2021-06-02T11:46:33.057Z,,,1,7.226,0.0,,0.0,2617336
35,5145,0.0,,,0.0,2021-06-02T11:55:38.886Z,,,1,7.257,0.0,,0.0,2671918
36,5147,0.0,,,0.0,2021-06-02T12:03:08.073Z,,,1,7.304,0.0,,0.0,2716836
37,5149,0.0,,,0.0,2021-06-02T12:10:46.990Z,,,1,7.273,0.0,,0.0,2762727
38,5172,0.0,,,0.0,2021-06-07T11:46:31.631Z,,,1,7.414,0.0,,0.0,2294718
39,5192,0.0,,,0.0,2021-06-09T09:32:18.458Z,,,1,7.4,0.0,,0.0,1623866
40,5121,25.0,125.344,1,18014.0,2021-06-01T11:11:25.944Z,0.8,SCHROB10MM,1,17.643,26.0,9.6,18000.0,2427230
41,5122,25.0,125.344,1,17997.0,2021-06-01T12:52:29.541Z,0.8,SCHROB10MM,1,17.891,27.0,9.6,18000.0,3033581
42,5123,26.0,125.344,1,18006.0,2021-06-01T12:54:47.853Z,0.8,SCHROB10MM,1,18.068,27.0,9.6,18000.0,3047412
43,5129,34.0,125.344,1,18007.0,2021-06-02T08:41:41.849Z,0.7,SCHROB10MM,1,17.997,27.0,9.6,18000.0,1508233
44,5130,26.0,125.344,1,18012.0,2021-06-02T09:52:03.817Z,0.7,SCHROB10MM,1,17.707,28.0,9.6,18000.0,1930423
45,5131,30.0,122.15,1,10004.0,2021-06-02T09:53:29.488Z,0.3,LEITZ6MM,1,16.085,30.0,6.0,10000.0,1938990
46,5132,34.0,125.344,1,17997.0,2021-06-02T09:56:14.771Z,0.6,SCHROB10MM,1,17.565,30.0,9.6,18000.0,1955518
47,5134,25.0,125.344,1,18018.0,2021-06-02T11:09:43.941Z,0.5,SCHROB10MM,1,17.459,27.0,9.6,18000.0,2396428
