,DIAM,rpmSetPoint,statoRot,LUNG,numTP,UTE,ist_acc,CurrentPeak,bearingsCelsius,VibromPeak,idChiave,statorCelsius,spindleRpm,@timestamp
0,20.0,14000.0,1,115.745,1,D20_L9_Z2,924662,20.179,25.0,0.4,1420,25.0,13983.0,2021-06-29T09:02:44.288Z
1,20.0,14000.0,1,115.745,1,D20_L9_Z2,950127,20.212,27.0,0.4,1421,27.0,13871.0,2021-06-29T09:06:58.943Z
2,20.0,14000.0,1,115.739,1,D20_L9_Z2,971915,20.281,27.0,0.3,1422,27.0,13981.0,2021-06-29T09:10:36.827Z
3,20.0,14000.0,1,115.739,1,D20_L9_Z2,999287,20.23,28.0,0.2,1423,28.0,13974.0,2021-06-29T09:15:10.553Z
4,20.0,14000.0,1,115.739,1,D20_L9_Z2,1135318,3.179,32.0,0.3,1423,35.0,13983.0,2021-06-29T09:37:50.891Z
5,20.0,14000.0,1,115.739,1,D20_L9_Z2,1135623,4.114,32.0,0.3,1423,35.0,13723.0,2021-06-29T09:37:53.941Z
6,20.0,14000.0,1,115.739,1,D20_L9_Z2,1135694,3.383,32.0,0.3,1423,35.0,13881.0,2021-06-29T09:37:54.651Z
7,20.0,14000.0,1,115.739,1,D20_L9_Z2,1135716,2.516,32.0,0.3,1423,35.0,14019.0,2021-06-29T09:37:54.871Z
8,20.0,14000.0,1,115.739,1,D20_L9_Z2,1135511,2.958,32.0,0.3,1423,35.0,13863.0,2021-06-29T09:37:52.821Z
9,20.0,14000.0,1,115.739,1,D20_L9_Z2,1135670,3.604,32.0,0.2,1423,35.0,13732.0,2021-06-29T09:37:54.411Z
10,20.0,14000.0,1,115.739,1,D20_L9_Z2,1197463,3.485,32.0,0.3,1423,35.0,14005.0,2021-06-29T09:48:12.353Z
11,20.0,14000.0,1,115.739,1,D20_L9_Z2,1197522,2.431,32.0,0.3,1423,35.0,13872.0,2021-06-29T09:48:12.943Z
12,20.0,14000.0,1,115.739,1,D20_L9_Z2,1206920,3.264,32.0,0.3,1423,35.0,13997.0,2021-06-29T09:49:46.925Z
13,20.0,14000.0,1,115.739,1,D20_L9_Z2,1206970,3.4,32.0,0.3,1423,35.0,13718.0,2021-06-29T09:49:47.425Z
14,20.0,14000.0,1,115.739,1,D20_L9_Z2,1207016,3.927,32.0,0.3,1423,35.0,13600.0,2021-06-29T09:49:47.885Z
15,20.0,14000.0,1,115.739,1,D20_L9_Z2,1213363,2.448,32.0,0.3,1423,35.0,13865.0,2021-06-29T09:50:51.357Z
16,20.0,14000.0,1,115.739,1,D20_L9_Z2,1217692,3.927,32.0,0.3,1423,35.0,13874.0,2021-06-29T09:51:34.647Z
17,20.0,14000.0,1,115.739,1,D20_L9_Z2,1218816,3.383,32.0,0.3,1423,35.0,13991.0,2021-06-29T09:51:45.888Z
18,20.0,14000.0,1,115.739,1,D20_L9_Z2,1220073,3.332,32.0,0.3,1423,35.0,13878.0,2021-06-29T09:51:58.458Z
19,20.0,14000.0,1,115.739,1,D20_L9_Z2,1220339,4.097,32.0,0.3,1423,35.0,13579.0,2021-06-29T09:52:01.118Z
20,20.0,14000.0,1,115.739,1,D20_L9_Z2,1220389,3.808,32.0,0.2,1423,35.0,13160.0,2021-06-29T09:52:01.618Z
21,20.0,14000.0,1,115.739,1,D20_L9_Z2,1220462,4.182,32.0,0.2,1423,35.0,13701.0,2021-06-29T09:52:02.348Z
22,20.0,14000.0,1,115.739,1,D20_L9_Z2,1206944,3.927,32.0,0.3,1423,35.0,13880.0,2021-06-29T09:49:47.165Z
23,20.0,14000.0,1,115.739,1,D20_L9_Z2,1207026,2.958,32.0,0.2,1423,35.0,13595.0,2021-06-29T09:49:47.985Z
