,rpmSetPoint,CurrentPeak,UTE,@timestamp,numTP,statoRot,statorCelsius,DIAM,idChiave,bearingsCelsius,ist_acc,spindleRpm,VibromPeak,LUNG
0,0.0,7.461,,2021-01-20T10:29:14.577Z,,1,0.0,,3433,0.0,191540,0.0,,
1,0.0,3.345,,2021-01-20T10:31:16.459Z,,1,0.0,,3433,0.0,203728,0.0,,
2,0.0,3.392,,2021-01-20T10:33:17.951Z,,1,0.0,,3433,0.0,215877,0.0,,
3,0.0,7.461,,2021-01-20T14:06:18.093Z,,1,0.0,,3436,0.0,779173,0.0,,
4,0.0,4.256,,2021-01-20T14:06:26.093Z,,1,0.0,,3436,0.0,779973,0.0,,
5,0.0,4.57,,2021-01-20T14:08:33.055Z,,1,0.0,,3437,0.0,792669,0.0,,
6,0.0,7.446,,2021-01-20T14:08:24.695Z,,1,0.0,,3437,0.0,791833,0.0,,
7,0.0,7.555,,2021-01-20T14:10:33.597Z,,1,0.0,,3438,0.0,804723,0.0,,
8,0.0,4.146,,2021-01-20T14:10:40.767Z,,1,0.0,,3438,0.0,805440,0.0,,
9,0.0,4.429,,2021-01-20T14:13:39.781Z,,1,0.0,,3439,0.0,823341,0.0,,
10,0.0,7.414,,2021-01-20T14:13:32.390Z,,1,0.0,,3439,0.0,822602,0.0,,
11,0.0,7.493,,2021-01-20T14:16:26.563Z,,1,0.0,,3440,0.0,840019,0.0,,
12,0.0,7.414,,2021-01-20T16:03:36.903Z,,1,0.0,,3443,0.0,1483042,0.0,,
13,0.0,7.477,,2021-01-20T16:28:46.749Z,,1,0.0,,3446,0.0,1634024,0.0,,
14,0.0,2.921,,2021-01-20T16:29:23.609Z,,1,0.0,,3446,0.0,1637710,0.0,,
15,0.0,7.336,,2021-01-20T16:39:58.610Z,,1,0.0,,3449,0.0,1701209,0.0,,
16,0.0,2.606,,2021-01-20T16:41:00.211Z,,1,0.0,,3449,0.0,1707369,0.0,,
17,0.0,7.43,,2021-01-21T06:14:55.137Z,,1,0.0,,3451,0.0,83609,0.0,,
18,0.0,3.376,,2021-01-21T06:16:57.019Z,,1,0.0,,3451,0.0,95797,0.0,,
19,0.0,3.078,,2021-01-21T06:18:58.520Z,,1,0.0,,3451,0.0,107947,0.0,,
20,0.0,7.4,,2021-01-21T06:50:17.958Z,,1,0.0,,3453,0.0,295888,0.0,,
21,0.0,7.367,,2021-01-21T06:52:30.320Z,,1,0.0,,3454,0.0,309124,0.0,,
22,0.0,2.072,,2021-01-21T06:58:12.025Z,,1,0.0,,3454,0.0,343294,0.0,,
23,18000.0,7.383,FRESA_MDF12,2021-01-21T07:08:14.415Z,,1,33.0,12.0,3456,23.0,403532,18001.0,,118.379
24,0.0,7.336,,2021-01-21T07:13:12.100Z,,1,0.0,,3457,0.0,433300,0.0,,
25,0.0,1.727,,2021-01-21T07:30:05.997Z,,1,0.0,,3457,0.0,534688,0.0,,
26,0.0,7.226,,2021-01-21T07:32:06.279Z,,1,0.0,,3459,0.0,546716,0.0,,
27,0.0,7.43,,2021-01-21T09:18:05.288Z,,1,0.0,,3461,0.0,1182606,0.0,,
28,0.0,2.214,,2021-01-21T09:21:10.302Z,,1,0.0,,3461,0.0,1201107,0.0,,
29,0.0,7.32,,2021-01-21T09:50:06.542Z,,1,0.0,,3463,0.0,1374728,0.0,,
30,0.0,3.77,,2021-01-21T09:50:18.542Z,,1,0.0,,3463,0.0,1375928,0.0,,
31,0.0,1.884,,2021-01-21T09:56:46.579Z,,1,0.0,,3463,0.0,1414731,0.0,,
32,0.0,7.383,,2021-01-21T15:05:52.316Z,,1,0.0,,3471,0.0,1259907,0.0,,
33,0.0,7.351,,2021-01-21T15:12:28.856Z,,1,0.0,,3473,0.0,1299474,0.0,,
34,14000.0,13.133,C4_PLEXY_Z1,2021-01-20T08:38:26.154Z,1,1,18.0,3.5,3431,16.0,570496,14001.0,0.6,90.553
35,14000.0,13.062,C4_PLEXY_Z1,2021-01-20T09:02:29.021Z,1,1,20.0,3.0,3432,17.0,714780,14004.0,0.5,93.307
36,14000.0,12.878,C4_PLEXY_Z1,2021-01-20T10:40:20.350Z,1,1,22.0,3.0,3434,19.0,258116,13995.0,0.4,93.307
37,16000.0,13.062,DIA12_16-20Z3V,2021-01-20T12:37:56.194Z,1,1,25.0,12.0,3435,22.0,248992,16002.0,0.4,120.169
38,18000.0,13.154,DIA12_20-25Z2V,2021-01-20T15:15:37.793Z,1,1,25.0,12.0,3441,23.0,1195136,17999.0,2.0,113.199
39,18000.0,13.091,DIA12_20-25Z2V,2021-01-20T15:25:55.914Z,1,1,25.0,12.0,3442,23.0,1256947,17993.0,2.0,113.199
40,16000.0,13.062,DIA12_16-20Z3V,2021-01-20T16:03:53.153Z,1,1,23.0,12.0,3444,21.0,1484667,16001.0,0.4,120.169
41,8000.0,13.26,DIA08CANALI,2021-01-20T16:24:48.365Z,1,1,24.0,8.0,3445,21.0,1610186,7997.0,0.3,103.44
42,16000.0,13.317,DIA12_16-20Z3V,2021-01-20T16:35:02.915Z,1,1,25.0,12.0,3447,21.0,1671640,16006.0,0.3,120.169
43,8000.0,13.225,DIA08CANALI,2021-01-20T16:39:19.179Z,1,1,29.0,8.0,3448,22.0,1697266,7996.0,0.3,103.44
44,16000.0,12.878,DIA12_16-20Z3V,2021-01-20T16:44:10.714Z,1,1,26.0,12.0,3450,22.0,1726419,15986.0,0.3,120.169
45,18000.0,13.154,DIA12_20-25Z2V,2021-01-21T06:39:15.528Z,1,1,16.0,12.0,3452,14.0,229646,17985.0,1.4,113.199
46,18000.0,12.921,DIA12_20-25Z2V,2021-01-21T07:00:07.947Z,1,1,19.0,12.0,3455,17.0,354886,17997.0,1.7,113.199
47,18000.0,13.183,DIA12_20-25Z2V,2021-01-21T07:30:57.667Z,1,1,22.0,12.0,3458,20.0,539855,17995.0,1.7,113.199
48,18000.0,13.041,DIA12_20-25Z2V,2021-01-21T07:32:56.659Z,1,1,23.0,12.0,3460,20.0,551754,18019.0,1.4,113.199
49,18000.0,13.183,DIA12_20-25Z2V,2021-01-21T09:23:06.934Z,1,1,24.0,12.0,3462,21.0,1212770,17994.0,1.8,113.199
50,18000.0,13.381,DIA12_20-25Z2V,2021-01-21T09:57:00.969Z,1,1,23.0,12.0,3464,21.0,1416170,17997.0,1.7,113.199
51,18000.0,13.289,DIA08CANALI,2021-01-21T10:16:14.579Z,1,1,25.0,8.0,3465,22.0,1531529,17979.0,1.1,103.44
52,18000.0,13.105,DIA12_20-25Z2V,2021-01-21T10:25:21.129Z,1,1,25.0,12.0,3466,22.0,1586183,17991.0,1.6,113.199
53,12000.0,13.211,SPIANA80,2021-01-21T10:35:43.570Z,1,1,25.0,80.0,3467,22.0,1648426,12007.0,0.3,109.76
54,18000.0,13.091,DIA1226,2021-01-21T10:47:22.893Z,1,1,31.0,12.0,3468,23.0,1718357,18014.0,1.0,107.629
55,18000.0,13.154,DIA12_20-25Z2V,2021-01-21T11:09:41.807Z,1,1,25.0,12.0,3469,22.0,1852246,17999.0,1.3,113.199
56,18000.0,13.119,FRESA_MDF12,2021-01-21T13:55:59.685Z,1,1,23.0,12.0,3470,21.0,841563,17997.0,0.5,118.379
57,18000.0,13.133,DIA12_20-25Z2V,2021-01-21T15:08:55.037Z,1,1,25.0,12.0,3472,22.0,1278139,17990.0,1.8,113.199
58,18000.0,12.97,DIA12_20-25Z2V,2021-01-21T15:13:50.374Z,1,1,26.0,12.0,3474,23.0,1307608,17985.0,1.9,113.199
59,18000.0,13.091,DIA12_20-25Z2V,2021-01-21T15:48:54.928Z,1,1,25.0,12.0,3475,22.0,1517602,17985.0,1.9,113.199
60,0.0,7.43,,2021-01-22T06:23:40.498Z,,1,0.0,,3476,0.0,90783,0.0,,
61,0.0,3.313,,2021-01-22T06:25:42.377Z,,1,0.0,,3476,0.0,102971,0.0,,
62,0.0,2.984,,2021-01-22T06:27:43.865Z,,1,0.0,,3476,0.0,115120,0.0,,
63,0.0,7.43,,2021-01-22T09:02:02.553Z,,1,0.0,,3487,0.0,1040997,0.0,,
64,0.0,7.414,,2021-01-22T09:05:47.731Z,,1,0.0,,3488,0.0,1063515,0.0,,
65,0.0,7.493,,2021-01-22T13:08:09.172Z,,1,0.0,,3516,0.0,2517670,0.0,,
66,0.0,7.414,,2021-01-22T13:05:55.873Z,,1,0.0,,3515,0.0,2504340,0.0,,
67,0.0,7.446,,2021-01-22T13:09:57.231Z,,1,0.0,,3517,0.0,2528476,0.0,,
68,0.0,7.446,,2021-01-22T13:12:32.910Z,,1,0.0,,3518,0.0,2544044,0.0,,
69,0.0,7.414,,2021-01-22T13:13:25.390Z,,1,0.0,,3519,0.0,2549292,0.0,,
70,0.0,7.461,,2021-01-22T13:15:01.259Z,,1,0.0,,3520,0.0,2558879,0.0,,
71,0.0,7.4,,2021-01-22T15:00:53.713Z,,1,0.0,,3530,0.0,3194129,0.0,,
