,statoRot,CurrentPeak,numTP,UTE,DIAM,ist_acc,bearingsCelsius,spindleRpm,rpmSetPoint,statorCelsius,@timestamp,idChiave,VibromPeak,LUNG
0,1,30.907,1,FRESAD20,24.379,1069613,22.0,18042.0,18000.0,25.0,2021-01-07T13:05:09.463Z,2365,0.5,155.0
1,1,12.321,,,,1103941,0.0,0.0,0.0,0.0,2021-01-07T13:10:52.748Z,2366,,
2,1,7.229,,,,469592,0.0,0.0,0.0,0.0,2021-01-25T08:39:06.039Z,2369,,
3,1,6.926,,,,892858,0.0,0.0,0.0,0.0,2021-01-25T09:49:38.784Z,2370,,
4,1,5.927,,,,904927,0.0,0.0,0.0,0.0,2021-01-25T09:51:39.477Z,2370,,
5,1,5.616,,,,916918,0.0,0.0,0.0,0.0,2021-01-25T09:53:39.389Z,2370,,
6,1,12.239,8,LAMA120,120.0,2474566,0.0,0.0,6000.0,0.0,2021-01-26T15:09:02.508Z,2372,,2.0
7,1,12.158,,,,2477351,0.0,0.0,0.0,0.0,2021-01-26T15:09:30.359Z,2373,,
8,1,12.076,,,,2568804,0.0,0.0,0.0,0.0,2021-01-26T15:24:44.910Z,2374,,
9,1,12.565,,,,2589765,0.0,0.0,0.0,0.0,2021-01-26T15:28:14.525Z,2375,,
10,1,6.719,,,,2630264,0.0,0.0,0.0,0.0,2021-01-26T15:34:59.525Z,2376,,
11,1,6.682,,,,2687935,0.0,0.0,0.0,0.0,2021-01-26T15:44:36.249Z,2377,,
12,1,9.805,8,LAMA120,120.0,2939763,0.0,0.0,6000.0,0.0,2021-01-26T16:26:34.589Z,2381,,2.0
13,1,6.127,,,,2944048,0.0,0.0,0.0,0.0,2021-01-26T16:27:17.440Z,2382,,
14,1,6.149,8,LAMA120,120.0,2990425,0.0,0.0,6000.0,0.0,2021-01-26T16:35:01.221Z,2384,,2.0
15,1,12.321,,,,2994524,0.0,0.0,0.0,0.0,2021-01-26T16:35:42.212Z,2385,,
16,1,12.284,8,LAMA120,120.0,3164873,0.0,0.0,6000.0,0.0,2021-01-26T17:04:05.743Z,2387,,2.0
17,1,6.045,,,,3167107,0.0,0.0,0.0,0.0,2021-01-26T17:04:28.084Z,2388,,
18,1,12.446,8,LAMA120,120.0,3206831,0.0,0.0,6000.0,0.0,2021-01-26T17:11:05.334Z,2390,,2.0
19,1,12.054,,,,3209391,0.0,0.0,0.0,0.0,2021-01-26T17:11:30.934Z,2391,,
20,1,6.105,8,LAMA120,120.0,3214847,0.0,0.0,6000.0,0.0,2021-01-26T17:12:25.496Z,2393,,2.0
