,spindleRpm,statorCelsius,rpmSetPoint,@timestamp,numTP,idChiave,bearingsCelsius,LUNG,ist_acc,UTE,CurrentPeak,VibromPeak,DIAM,statoRot
0,0.0,0.0,0.0,2021-11-25T03:38:09.218Z,,4124,0.0,,3041456,,7.296,,,1
1,0.0,0.0,0.0,2021-11-25T03:44:45.826Z,,4126,0.0,,3081116,,12.321,,,1
2,0.0,0.0,0.0,2021-11-25T03:59:38.604Z,,4129,0.0,,3170392,,12.202,,,1
3,0.0,0.0,0.0,2021-11-25T19:52:43.488Z,,4130,0.0,,156493,,12.261,,,1
4,0.0,0.0,0.0,2021-11-25T20:04:08.317Z,,4132,0.0,,224975,,12.247,,,1
5,0.0,0.0,0.0,2021-11-25T20:07:11.300Z,,4134,0.0,,243273,,12.343,,,1
6,0.0,0.0,6000.0,2021-11-28T22:08:17.665Z,8,4139,0.0,20.0,962260,LAMA120,6.815,,120.0,1
7,19034.0,25.0,19000.0,2021-11-25T03:38:21.618Z,1,4125,25.0,116.839,3042696,8_SPIRAL,20.162,0.6,8.0,1
8,19020.0,27.0,19000.0,2021-11-25T03:45:00.426Z,1,4127,27.0,116.839,3082576,8_SPIRAL,20.162,0.7,8.0,1
9,19021.0,25.0,19000.0,2021-11-25T03:51:24.404Z,1,4128,25.0,116.839,3120973,8_SPIRAL,20.179,0.7,8.0,1
10,19016.0,23.0,19000.0,2021-11-25T19:52:58.018Z,1,4131,22.0,116.839,157946,8_SPIRAL,20.247,0.9,8.0,1
11,18962.0,25.0,19000.0,2021-11-25T20:04:28.848Z,1,4133,24.0,116.839,227028,8_SPIRAL,20.162,0.8,8.0,1
12,19027.0,27.0,19000.0,2021-11-25T20:07:31.900Z,1,4135,25.0,116.839,245333,8_SPIRAL,20.145,0.8,8.0,1
13,10982.0,25.0,11000.0,2021-11-28T21:51:50.547Z,1,4136,24.0,128.889,863553,80_SKIM,20.162,0.8,80.0,1
14,20983.0,27.0,21000.0,2021-11-28T21:58:29.636Z,1,4137,25.0,140.179,903460,16_SPIRAL,20.212,0.6,16.0,1
15,21025.0,29.0,21000.0,2021-11-28T22:00:38.983Z,1,4138,27.0,140.179,916394,16_SPIRAL,20.23,0.5,16.0,1
