,numTP,rpmSetPoint,spindleRpm,idChiave,VibromPeak,LUNG,statorCelsius,statoRot,CurrentPeak,UTE,DIAM,ist_acc,bearingsCelsius,@timestamp
0,,0.0,0.0,4766,,,0.0,1,12.187,,,49846,0.0,2020-12-09T07:11:22.898Z
1,,0.0,0.0,4766,,,0.0,1,5.905,,,61919,0.0,2020-12-09T07:13:23.629Z
2,,0.0,0.0,4766,,,0.0,1,5.979,,,73915,0.0,2020-12-09T07:15:23.590Z
3,,0.0,0.0,4768,,,0.0,1,12.284,,,2288697,0.0,2020-12-09T13:24:31.689Z
4,,0.0,0.0,4768,,,0.0,1,5.905,,,2312758,0.0,2020-12-09T13:28:32.302Z
5,,0.0,0.0,4768,,,0.0,1,5.831,,,2300771,0.0,2020-12-09T13:26:32.431Z
6,8,6000.0,0.0,4772,,4.0,0.0,1,6.267,LAMA120,120.0,2389288,0.0,2020-12-09T13:41:17.613Z
7,,0.0,0.0,4773,,,0.0,1,6.608,,,2393966,0.0,2020-12-09T13:42:04.393Z
8,8,6000.0,0.0,4775,,4.0,0.0,1,12.202,LAMA120,120.0,2412676,0.0,2020-12-09T13:45:11.496Z
9,,0.0,0.0,4776,,,0.0,1,12.321,,,2416066,0.0,2020-12-09T13:45:45.396Z
10,8,6000.0,0.0,4778,,4.0,0.0,1,6.378,LAMA120,120.0,2502125,0.0,2020-12-09T14:00:05.997Z
11,,0.0,0.0,4779,,,0.0,1,5.942,,,2505529,0.0,2020-12-09T14:00:40.038Z
12,8,6000.0,0.0,4781,,4.0,0.0,1,12.187,LAMA120,120.0,2520163,0.0,2020-12-09T14:03:06.380Z
13,,0.0,0.0,4782,,,0.0,1,7.252,,,2523352,0.0,2020-12-09T14:03:38.270Z
14,,0.0,0.0,4784,,,0.0,1,12.202,,,2538482,0.0,2020-12-09T14:06:09.572Z
15,,0.0,0.0,4786,,,0.0,1,5.853,,,2569024,0.0,2020-12-09T14:11:14.996Z
16,8,6000.0,0.0,4788,,4.0,0.0,1,12.128,LAMA120,120.0,2598105,0.0,2020-12-09T14:16:05.810Z
17,,0.0,0.0,4789,,,0.0,1,8.976,,,2601314,0.0,2020-12-09T14:16:37.901Z
18,8,6000.0,0.0,4791,,4.0,0.0,1,6.038,LAMA120,120.0,2620487,0.0,2020-12-09T14:19:49.633Z
19,,0.0,0.0,4792,,,0.0,1,11.936,,,2623687,0.0,2020-12-09T14:20:21.634Z
20,8,6000.0,0.0,4794,,4.0,0.0,1,12.202,LAMA120,120.0,2642321,0.0,2020-12-09T14:23:27.976Z
21,,0.0,0.0,4795,,,0.0,1,5.816,,,2645717,0.0,2020-12-09T14:24:01.937Z
22,,0.0,0.0,4798,,,0.0,1,5.712,,,2696777,0.0,2020-12-09T14:32:32.543Z
23,8,6000.0,0.0,4797,,4.0,0.0,1,6.053,LAMA120,120.0,2693383,0.0,2020-12-09T14:31:58.603Z
24,,0.0,0.0,4800,,,0.0,1,12.002,,,2715579,0.0,2020-12-09T14:35:40.566Z
25,,0.0,0.0,4802,,,0.0,1,12.187,,,3000661,0.0,2020-12-09T15:23:11.424Z
26,,0.0,0.0,4804,,,0.0,1,12.224,,,3455295,0.0,2020-12-09T16:38:57.825Z
27,,0.0,0.0,4807,,,0.0,1,12.106,,,3507666,0.0,2020-12-09T16:47:41.541Z
28,,0.0,0.0,4810,,,0.0,1,6.082,,,3526169,0.0,2020-12-09T16:50:46.574Z
29,8,6000.0,0.0,4809,,2.0,0.0,1,12.136,LAMA120,120.0,3522512,0.0,2020-12-09T16:50:10.003Z
30,8,6000.0,0.0,4812,,2.0,0.0,1,6.186,LAMA120,120.0,3534619,0.0,2020-12-09T16:52:11.075Z
31,,0.0,0.0,4813,,,0.0,1,5.92,,,3538260,0.0,2020-12-09T16:52:47.486Z
32,8,6000.0,0.0,4815,,2.0,0.0,1,6.149,LAMA120,120.0,3545526,0.0,2020-12-09T16:54:00.147Z
33,,0.0,0.0,4816,,,0.0,1,12.247,,,3548970,0.0,2020-12-09T16:54:34.587Z
34,8,6000.0,0.0,4818,,2.0,0.0,1,5.853,LAMA120,120.0,3558694,0.0,2020-12-09T16:56:11.828Z
35,,0.0,0.0,4819,,,0.0,1,5.564,,,3562029,0.0,2020-12-09T16:56:45.179Z
36,,0.0,0.0,4821,,,0.0,1,5.809,,,3589535,0.0,2020-12-09T17:01:20.242Z
37,1,5000.0,4906.0,4767,0.1,119.05,13.0,1,20.332,DIAM16,16.0,81406,13.0,2020-12-09T07:16:38.501Z
38,1,10000.0,9989.0,4767,0.1,119.05,17.0,1,11.509,DIAM16,16.0,93302,13.0,2020-12-09T07:18:37.462Z
39,1,15000.0,15031.0,4767,0.2,119.05,20.0,1,5.236,DIAM16,16.0,105309,15.0,2020-12-09T07:20:37.532Z
40,1,5000.0,4952.0,4769,0.2,119.05,17.0,1,20.298,DIAM16,16.0,2319451,17.0,2020-12-09T13:29:39.233Z
41,1,10000.0,9962.0,4769,0.1,119.05,20.0,1,8.959,DIAM16,16.0,2331337,17.0,2020-12-09T13:31:38.095Z
42,1,15000.0,14876.0,4769,0.2,119.05,22.0,1,5.032,DIAM16,16.0,2343337,17.0,2020-12-09T13:33:38.096Z
43,1,18000.0,18002.0,4770,0.4,119.05,20.0,1,20.077,DIAM16,16.0,2380717,18.0,2020-12-09T13:39:51.901Z
44,1,18000.0,18015.0,4771,0.3,119.05,25.0,1,20.212,DIAM16,16.0,2386326,19.0,2020-12-09T13:40:47.992Z
