,rpmSetPoint,statoRot,@timestamp,bearingsCelsius,idChiave,LUNG,UTE,spindleRpm,DIAM,VibromPeak,statorCelsius,ist_acc,CurrentPeak,numTP
0,0.0,1,2022-03-03T03:53:54.640Z,0.0,6675,,,0.0,,,0.0,1404132,7.43,
1,0.0,1,2022-03-03T04:01:49.133Z,0.0,6677,,,0.0,,,0.0,1451580,7.446,
2,0.0,1,2022-03-03T04:43:08.158Z,0.0,6680,,,0.0,,,0.0,1699476,7.336,
3,0.0,1,2022-03-03T06:13:20.022Z,0.0,6684,,,0.0,,,0.0,2240648,7.304,
4,0.0,1,2022-03-03T06:25:59.442Z,0.0,6686,,,0.0,,,0.0,2316588,7.367,
5,0.0,1,2022-03-03T07:15:19.510Z,0.0,6690,,,0.0,,,0.0,2612587,7.414,
6,0.0,1,2022-03-03T07:37:26.976Z,0.0,6694,,,0.0,,,0.0,2745330,7.477,
7,0.0,1,2022-03-03T07:56:05.265Z,0.0,6698,,,0.0,,,0.0,2857156,7.446,
8,0.0,1,2022-03-03T08:08:25.985Z,0.0,6702,,,0.0,,,0.0,2931226,7.461,
9,0.0,1,2022-03-03T08:24:44.811Z,0.0,6706,,,0.0,,,0.0,3029106,7.43,
10,0.0,1,2022-03-03T08:49:28.440Z,0.0,6711,,,0.0,,,0.0,3177465,7.43,
11,0.0,1,2022-03-03T09:03:29.993Z,0.0,6715,,,0.0,,,0.0,3261618,7.351,
12,0.0,1,2022-03-03T09:15:24.152Z,0.0,6719,,,0.0,,,0.0,3333032,7.524,
13,0.0,1,2022-03-04T01:14:14.300Z,0.0,6723,,,0.0,,,0.0,216339,7.54,
14,0.0,1,2022-03-04T01:49:12.539Z,0.0,6727,,,0.0,,,0.0,426161,7.477,
15,0.0,1,2022-03-04T01:59:49.115Z,0.0,6731,,,0.0,,,0.0,489818,7.555,
16,0.0,1,2022-03-04T02:12:56.563Z,0.0,6735,,,0.0,,,0.0,568562,7.477,
17,0.0,1,2022-03-04T02:27:52.202Z,0.0,6739,,,0.0,,,0.0,658125,7.414,
18,0.0,1,2022-03-04T02:34:50.596Z,0.0,6741,,,0.0,,,0.0,699964,7.477,
19,0.0,1,2022-03-04T02:55:17.068Z,0.0,6745,,,0.0,,,0.0,822610,7.446,
