,LUNG,bearingsCelsius,spindleRpm,idChiave,statoRot,ist_acc,@timestamp,DIAM,UTE,VibromPeak,statorCelsius,numTP,CurrentPeak,rpmSetPoint
0,109.752,25.0,12007.0,2552,1,2308099,2021-02-17T13:35:16.376Z,80.0,SPIANAD80,0.7,25.0,1,20.315,12000.0
1,109.752,27.0,3002.0,2552,1,2334126,2021-02-17T13:39:36.664Z,80.0,SPIANAD80,0.9,32.0,1,9.894,3000.0
2,165.19,25.0,3905.0,2553,1,2377821,2021-02-17T13:46:53.644Z,15.0,CAN15,0.4,25.0,1,20.128,3900.0
3,147.044,25.0,19004.0,2554,1,2382616,2021-02-17T13:47:41.598Z,10.0,TEST10SGROSS,1.9,27.0,1,20.212,19000.0
4,147.044,30.0,18999.0,2555,1,2452850,2021-02-17T13:59:23.987Z,10.0,TEST10SGROSS,2.1,35.0,1,20.23,19000.0
5,147.76,30.0,13485.0,2556,1,2503011,2021-02-17T14:07:45.632Z,6.0,FRESA6SMUSS,0.8,39.0,1,20.23,13500.0
6,143.699,30.0,5965.0,2557,1,2510890,2021-02-17T14:09:04.428Z,20.0,CAN19APK,0.8,35.0,1,20.212,6000.0
7,147.0,25.0,18954.0,2558,1,2578203,2021-02-17T14:20:17.604Z,10.0,TEST10,0.8,29.0,1,20.128,19000.0
8,134.149,29.0,18981.0,2559,1,2605958,2021-02-17T14:24:55.174Z,6.0,TEST6,2.3,38.0,1,20.212,19000.0
9,147.76,30.0,13478.0,2560,1,2615142,2021-02-17T14:26:27.020Z,6.0,FRESA6SMUSS,0.7,38.0,1,20.128,13500.0
10,134.149,29.0,18969.0,2561,1,2624382,2021-02-17T14:27:59.426Z,6.0,TEST6,1.9,34.0,1,20.212,19000.0
11,147.76,27.0,13459.0,2562,1,2646581,2021-02-17T14:31:41.431Z,6.0,FRESA6SMUSS,0.7,27.0,1,20.094,13500.0
12,151.278,27.0,3443.0,2563,1,2654384,2021-02-17T14:32:59.467Z,8.5,CAN8-5FR,0.8,30.0,1,20.212,3500.0
13,109.752,22.0,11982.0,2564,1,215391,2021-02-18T07:35:35.844Z,80.0,SPIANAD80,0.7,20.0,1,20.179,12000.0
14,109.752,22.0,2939.0,2564,1,222037,2021-02-18T07:36:42.305Z,80.0,SPIANAD80,1.0,24.0,1,10.914,3000.0
15,109.752,22.0,12005.0,2565,1,256501,2021-02-18T07:42:26.953Z,80.0,SPIANAD80,0.9,22.0,1,20.212,12000.0
16,109.752,24.0,2938.0,2565,1,281349,2021-02-18T07:46:35.439Z,80.0,SPIANAD80,1.1,27.0,1,9.877,3000.0
17,165.19,23.0,3909.0,2566,1,297082,2021-02-18T07:49:12.772Z,15.0,CAN15,0.5,24.0,1,20.128,3900.0
18,147.044,23.0,21944.0,2567,1,299859,2021-02-18T07:49:40.543Z,10.0,TEST10SGROSS,1.8,25.0,1,20.179,22000.0
19,147.044,27.0,19002.0,2567,1,315246,2021-02-18T07:52:14.417Z,10.0,TEST10SGROSS,1.4,41.0,1,9.078,19000.0
20,147.76,28.0,13476.0,2568,1,329043,2021-02-18T07:54:32.390Z,6.0,FRESA6SMUSS,0.9,37.0,1,20.162,13500.0
21,143.699,27.0,5913.0,2569,1,332514,2021-02-18T07:55:07.101Z,20.0,CAN19APK,0.8,35.0,1,20.298,6000.0
22,147.0,27.0,18980.0,2570,1,350867,2021-02-18T07:58:10.635Z,10.0,TEST10,0.8,30.0,1,20.162,19000.0
23,134.149,27.0,18951.0,2571,1,359062,2021-02-18T07:59:32.587Z,6.0,TEST6,0.6,35.0,1,20.179,19000.0
24,147.76,27.0,13509.0,2572,1,362898,2021-02-18T08:00:10.948Z,6.0,FRESA6SMUSS,0.7,35.0,1,20.212,13500.0
25,134.149,27.0,18922.0,2573,1,368081,2021-02-18T08:01:02.779Z,6.0,TEST6,0.9,33.0,1,20.315,19000.0
26,151.278,27.0,3454.0,2574,1,371073,2021-02-18T08:01:32.700Z,8.5,CAN8-5FR,0.8,33.0,1,20.212,3500.0
27,109.752,25.0,12024.0,2575,1,479365,2021-02-18T08:19:35.646Z,80.0,SPIANAD80,1.3,24.0,1,20.298,12000.0
28,109.752,25.0,2936.0,2575,1,485102,2021-02-18T08:20:33.017Z,80.0,SPIANAD80,1.8,27.0,1,10.472,3000.0
29,109.752,25.0,12001.0,2576,1,525447,2021-02-18T08:27:16.477Z,80.0,SPIANAD80,1.3,25.0,1,20.23,12000.0
30,109.752,25.0,2946.0,2576,1,538650,2021-02-18T08:29:28.510Z,80.0,SPIANAD80,1.7,30.0,1,8.993,3000.0
31,199.029,25.0,20030.0,2577,1,685352,2021-02-18T08:53:55.566Z,16.0,FEDORASGROSS,3.9,24.0,1,20.162,20000.0
32,217.4,30.0,18972.0,2578,1,726633,2021-02-18T09:00:48.386Z,16.0,FEDORA,8.0,41.0,1,20.23,19000.0
33,147.044,25.0,19020.0,2579,1,1120046,2021-02-18T10:06:22.613Z,10.0,TEST10SGROSS,2.8,24.0,1,20.179,19000.0
34,147.0,30.0,18977.0,2580,1,1243421,2021-02-18T10:26:56.394Z,10.0,TEST10,0.7,40.0,1,20.281,19000.0
35,147.76,30.0,13458.0,2581,1,1296861,2021-02-18T10:35:50.807Z,6.0,FRESA6SMUSS,0.8,40.0,1,20.247,13500.0
36,147.0,30.0,18942.0,2582,1,1319539,2021-02-18T10:39:37.593Z,10.0,TEST10,0.8,34.0,1,20.128,19000.0
37,166.78,30.0,2511.0,2583,1,1339057,2021-02-18T10:42:52.778Z,6.5,PUNT6-5,0.8,39.0,1,20.281,2500.0
38,199.029,25.0,19955.0,2584,1,1516405,2021-02-18T11:12:26.302Z,16.0,FEDORASGROSS,5.1,25.0,1,20.315,20000.0
39,217.4,32.0,18980.0,2585,1,1583652,2021-02-18T11:23:38.789Z,16.0,FEDORA,7.8,42.0,1,20.247,19000.0
40,147.044,25.0,18970.0,2586,1,2420279,2021-02-18T13:43:05.270Z,10.0,TEST10SGROSS,1.2,24.0,1,20.212,19000.0
41,147.044,25.0,18975.0,2587,1,2433962,2021-02-18T13:45:22.104Z,10.0,TEST10SGROSS,1.2,25.0,1,20.179,19000.0
42,147.0,30.0,18975.0,2588,1,2591581,2021-02-18T14:11:38.334Z,10.0,TEST10,1.4,39.0,1,20.247,19000.0
43,199.029,30.0,19983.0,2589,1,2665790,2021-02-18T14:24:00.443Z,16.0,FEDORASGROSS,5.0,40.0,1,20.247,20000.0
44,217.4,33.0,19027.0,2590,1,2957252,2021-02-18T15:12:35.137Z,16.0,FEDORA,6.9,43.0,1,20.212,19000.0
45,143.977,32.0,3468.0,2591,1,3172175,2021-02-18T15:48:24.422Z,10.5,FRESA10-5,0.8,40.0,1,20.247,3500.0
46,138.699,25.0,12863.0,2592,1,935018,2021-02-19T09:41:25.351Z,6.0,PALLAD6,0.4,24.0,1,20.247,19000.0
47,138.699,25.0,18998.0,2593,1,1031731,2021-02-19T09:57:32.497Z,6.0,PALLAD6,1.2,25.0,1,20.23,19000.0
48,142.851,28.0,2438.0,2594,1,1051930,2021-02-19T10:00:54.491Z,9.0,PUNT9,0.5,37.0,1,20.094,2500.0
49,143.699,27.0,18003.0,2595,1,1065107,2021-02-19T10:03:06.263Z,20.0,CAN19APK,2.6,30.0,1,20.247,18000.0
50,143.699,27.0,6030.0,2595,1,1081711,2021-02-19T10:05:52.306Z,20.0,CAN19APK,2.3,35.0,1,7.769,6000.0
51,147.044,27.0,19010.0,2596,1,1126902,2021-02-19T10:13:24.223Z,10.0,TEST10SGROSS,1.3,30.0,1,20.281,19000.0
52,147.0,30.0,18984.0,2597,1,1181090,2021-02-19T10:22:26.112Z,10.0,TEST10,2.9,39.0,1,20.162,19000.0
53,142.32,30.0,3001.0,2598,1,1227077,2021-02-19T10:30:05.990Z,5.5,CAN5-5,0.6,39.0,1,20.298,3000.0
54,138.699,25.0,18972.0,2599,1,1602464,2021-02-19T11:32:39.923Z,6.0,PALLAD6,1.5,24.0,1,20.162,19000.0
55,147.044,32.0,18981.0,2600,1,1754971,2021-02-19T11:58:05.019Z,10.0,TEST10SGROSS,1.9,40.0,1,20.145,19000.0
56,147.0,30.0,18939.0,2601,1,1778223,2021-02-19T12:01:57.543Z,10.0,TEST10,0.8,40.0,1,20.247,19000.0
57,137.211,30.0,2014.0,2602,1,1796761,2021-02-19T12:05:02.927Z,5.0,CAN5,0.7,40.0,1,20.212,2000.0
58,147.044,25.0,19023.0,2603,1,1036333,2021-02-22T09:54:24.307Z,10.0,TEST10SGROSS,2.2,25.0,1,20.264,19000.0
59,147.044,25.0,18988.0,2604,1,1050377,2021-02-22T09:56:44.750Z,10.0,TEST10SGROSS,2.1,25.0,1,20.247,19000.0
