,UTE,VibromPeak,idChiave,CurrentPeak,ist_acc,rpmSetPoint,statorCelsius,DIAM,@timestamp,bearingsCelsius,LUNG,numTP,spindleRpm,statoRot
0,DIAMANT25,2.9,2098,20.247,320647,20000.0,17.0,25.0,2021-08-23T09:50:59.272Z,17.0,174.08,1,19999.0,1
1,DIAMANT25,4.1,2099,21.981,365071,20000.0,19.0,25.0,2021-08-23T09:58:23.517Z,19.0,174.08,1,19988.0,1
2,DIAMANT25,3.8,2100,20.382,412044,20000.0,20.0,25.0,2021-08-23T10:06:13.252Z,20.0,174.08,1,19981.0,1
3,DIAMANT25,4.3,2101,20.382,458184,20000.0,22.0,25.0,2021-08-23T10:13:54.657Z,22.0,174.08,1,20002.0,1
4,DIAMANT25,4.4,2102,24.667,498491,20000.0,23.0,25.0,2021-08-23T10:20:37.732Z,23.0,174.08,1,0.0,1
5,DIAMANT25,4.1,2103,20.162,513443,20000.0,24.0,25.0,2021-08-23T10:23:07.254Z,23.0,174.08,1,0.0,1
6,DIAMANT25,4.2,2104,20.212,975069,20000.0,22.0,25.0,2021-08-23T11:40:03.566Z,22.0,174.08,1,0.0,1
7,DIAMANT25,3.9,2105,20.382,1058884,20000.0,22.0,25.0,2021-08-23T11:54:01.726Z,22.0,174.08,1,0.0,1
8,DIAMANT25,4.1,2106,20.349,1066027,20000.0,22.0,25.0,2021-08-23T11:55:13.157Z,22.0,174.08,1,0.0,1
9,DIAMANT25,5.0,2107,20.315,1124656,20000.0,23.0,25.0,2021-08-23T12:04:59.453Z,22.0,174.08,1,0.0,1
10,DIAMANT25,4.8,2108,20.145,78108,20000.0,22.0,25.0,2021-08-23T13:32:21.973Z,22.0,174.08,1,0.0,1
11,,,2256,5.513,3716229,0.0,0.0,,2021-08-27T15:16:55.944Z,0.0,,,0.0,1
12,,,2262,5.394,2523140,0.0,0.0,,2021-08-30T12:05:36.797Z,0.0,,,0.0,1
13,,,2268,12.113,2853199,0.0,0.0,,2021-08-30T13:00:37.426Z,0.0,,,0.0,1
14,,,2320,12.165,32341,0.0,0.0,,2021-08-31T08:57:54.710Z,0.0,,,0.0,1
15,,,2322,5.735,39623,0.0,0.0,,2021-08-31T08:59:07.531Z,0.0,,,0.0,1
16,,,2324,12.187,49948,0.0,0.0,,2021-08-31T09:00:50.782Z,0.0,,,0.0,1
17,,,2326,12.247,55712,0.0,0.0,,2021-08-31T09:01:48.423Z,0.0,,,0.0,1
18,,,2368,12.106,3808525,0.0,0.0,,2021-09-01T16:13:05.268Z,0.0,,,0.0,1
19,,,2375,5.564,3964763,0.0,0.0,,2021-09-01T16:39:07.665Z,0.0,,,0.0,1
20,,,2380,5.579,4259274,0.0,0.0,,2021-09-01T17:28:12.809Z,0.0,,,0.0,1
21,,,2385,5.409,4428844,0.0,0.0,,2021-09-01T17:56:28.528Z,0.0,,,0.0,1
22,,,2395,12.224,3184383,0.0,0.0,,2021-09-02T13:48:47.118Z,0.0,,,0.0,1
23,,,2400,5.816,305786,0.0,0.0,,2021-09-03T05:45:39.925Z,0.0,,,0.0,1
24,,,2405,5.446,375143,0.0,0.0,,2021-09-03T05:57:13.501Z,0.0,,,0.0,1
25,,,2423,5.661,2234288,0.0,0.0,,2021-09-06T11:12:48.574Z,0.0,,,0.0,1
26,,,2432,12.106,378864,0.0,0.0,,2021-09-07T05:51:18.206Z,0.0,,,0.0,1
27,FRAS8X30,5.1,2109,20.212,2145219,20000.0,19.0,8.0,2021-08-25T10:56:23.159Z,19.0,115.44,1,20046.0,1
28,FRAS8X30,5.4,2110,20.315,2164823,20000.0,19.0,8.0,2021-08-25T10:59:39.202Z,19.0,115.44,1,19957.0,1
29,FRAS8X30,5.3,2111,20.518,2172101,20000.0,20.0,8.0,2021-08-25T11:00:51.982Z,20.0,115.44,1,19933.0,1
30,FRAS8X30,5.1,2112,20.451,2175515,20000.0,23.0,8.0,2021-08-25T11:01:26.123Z,20.0,115.44,1,19995.0,1
