,rpmSetPoint,statoRot,bearingsCelsius,UTE,VibromPeak,numTP,idChiave,DIAM,CurrentPeak,ist_acc,@timestamp,LUNG,spindleRpm,statorCelsius
0,8000.0,1,26.0,CAT1,0.3,1,1,10.0,12.999,9334757,2021-08-03T11:50:45.923Z,128.0,7995.0,26.0
1,7200.0,1,26.0,CAT2,0.3,1,2,10.0,12.935,9336405,2021-08-03T11:51:02.404Z,150.0,7195.0,26.0
2,8000.0,1,26.0,CAT3,0.6,1,3,10.0,12.999,9338083,2021-08-03T11:51:19.184Z,150.0,7995.0,26.0
3,8000.0,1,26.0,CAT4,0.6,1,4,10.0,13.076,9340019,2021-08-03T11:51:38.544Z,150.0,8004.0,26.0
4,8000.0,1,26.0,CAT5,0.3,1,5,10.0,13.013,9341959,2021-08-03T11:51:57.945Z,150.0,7998.0,26.0
5,8000.0,1,26.0,CAT6,0.3,1,6,10.0,12.829,9343617,2021-08-03T11:52:14.525Z,150.0,7999.0,27.0
6,8000.0,1,26.0,CAT7,0.6,1,7,10.0,13.013,9345277,2021-08-03T11:52:31.125Z,150.0,7997.0,27.0
7,8000.0,1,26.0,CAT8,0.6,1,8,10.0,12.906,9347217,2021-08-03T11:52:50.525Z,136.0,7993.0,27.0
8,8000.0,1,26.0,CAT9,0.3,1,9,10.0,12.97,9349159,2021-08-03T11:53:09.946Z,136.0,7992.0,27.0
9,8000.0,1,26.0,CAT10,0.4,1,10,10.0,12.921,9350821,2021-08-03T11:53:26.566Z,128.0,7994.0,28.0
10,8000.0,1,26.0,CAT11,0.6,1,11,1.1,12.878,9352501,2021-08-03T11:53:43.366Z,150.0,8003.0,28.0
11,8000.0,1,27.0,CAT12,0.4,11,12,10.0,36.487,9354600,2021-08-03T11:54:04.357Z,150.0,8035.0,25.0
12,8000.0,1,27.0,CAT13,0.3,11,13,10.0,27.621,9356219,2021-08-03T11:54:20.547Z,250.0,8028.0,25.0
13,8000.0,1,27.0,CAT14,0.5,11,14,10.0,15.345,9357870,2021-08-03T11:54:37.057Z,150.0,8033.0,27.0
14,8000.0,1,27.0,CAT15,0.5,11,15,15.0,29.791,9359417,2021-08-03T11:54:52.528Z,150.0,8016.0,27.0
15,8000.0,1,27.0,CAT16,0.3,11,16,10.0,23.125,9361083,2021-08-03T11:55:09.188Z,150.0,8038.0,27.0
16,8000.0,1,27.0,CAT17,0.4,11,17,10.0,30.875,9362633,2021-08-03T11:55:24.688Z,100.0,8020.0,27.0
17,8000.0,1,27.0,CAT18,0.5,11,18,10.0,33.014,9364320,2021-08-03T11:55:41.558Z,150.0,8021.0,27.0
18,8000.0,1,27.0,CAT19,0.4,11,19,10.0,27.683,9365869,2021-08-03T11:55:57.049Z,150.0,8025.0,27.0
19,7200.0,1,27.0,CAT20,0.3,11,20,10.0,15.097,9367532,2021-08-03T11:56:13.679Z,117.0,7205.0,27.0
20,8000.0,1,27.0,CAT21,0.3,11,21,7.5,36.3,9369093,2021-08-03T11:56:29.289Z,150.0,8016.0,28.0
21,10000.0,1,27.0,CAT22,0.5,11,22,17.0,15.066,9370795,2021-08-03T11:56:46.310Z,136.0,10040.0,27.0
22,8000.0,1,28.0,REV1,0.4,11,23,10.0,33.231,9372718,2021-08-03T11:57:05.540Z,125.0,8023.0,27.0
23,8000.0,1,28.0,REV2,0.6,11,24,6.0,33.696,9374534,2021-08-03T11:57:23.700Z,150.0,8033.0,28.0
24,6000.0,1,28.0,REV3,0.2,11,25,10.0,29.481,9376317,2021-08-03T11:57:41.531Z,150.0,6021.0,28.0
25,6000.0,1,28.0,REV4,0.5,11,26,9.0,33.573,9377801,2021-08-03T11:57:56.371Z,150.0,6018.0,28.0
26,8000.0,1,28.0,REV5,0.5,11,27,7.0,29.481,9379491,2021-08-03T11:58:13.271Z,136.0,8027.0,27.0
27,8000.0,1,28.0,REV6,0.5,11,28,18.0,29.077,9381170,2021-08-03T11:58:30.061Z,136.0,8032.0,27.0
28,8000.0,1,28.0,REV7,0.2,11,29,10.0,15.097,9382997,2021-08-03T11:58:48.332Z,150.0,8023.0,27.0
29,8000.0,1,28.0,REV8,0.5,11,30,10.0,30.813,9384517,2021-08-03T11:59:03.532Z,150.0,8028.0,27.0
30,7200.0,1,27.0,REV9,0.3,11,31,10.0,32.363,9386931,2021-08-03T11:59:27.672Z,150.0,7205.0,27.0
31,8000.0,1,27.0,PN1,0.3,1,32,18.0,13.409,9388837,2021-08-03T11:59:46.733Z,148.0,8000.0,26.0
32,6000.0,1,27.0,PN2,0.4,1,33,20.0,12.878,9390167,2021-08-03T12:00:00.033Z,150.0,5998.0,27.0
33,10000.0,1,27.0,PN3,0.3,1,34,30.0,12.814,9391510,2021-08-03T12:00:13.463Z,150.0,10001.0,27.0
34,12000.0,1,27.0,PN4,0.3,1,35,40.0,12.956,9392865,2021-08-03T12:00:27.013Z,150.0,12005.0,27.0
35,18000.0,1,27.0,PN5,0.3,1,36,10.0,13.062,9394334,2021-08-03T12:00:41.704Z,150.0,17982.0,28.0
36,8000.0,1,27.0,PN6,0.4,1,37,60.0,12.892,9395737,2021-08-03T12:00:55.734Z,150.0,8006.0,28.0
37,10000.0,1,27.0,PN7,0.3,1,38,70.0,13.091,9397067,2021-08-03T12:01:09.034Z,150.0,10000.0,28.0
38,8000.0,1,27.0,PN8,0.3,1,39,80.0,12.999,9398381,2021-08-03T12:01:22.174Z,150.0,7993.0,28.0
39,8000.0,1,27.0,CAT1,0.3,1,40,10.0,12.97,9400360,2021-08-03T12:01:41.964Z,128.0,8001.0,28.0
40,7200.0,1,27.0,CAT2,0.3,1,41,10.0,13.091,9402010,2021-08-03T12:01:58.465Z,150.0,7195.0,28.0
41,8000.0,1,27.0,CAT3,0.6,1,42,10.0,12.864,9403684,2021-08-03T12:02:15.205Z,150.0,8005.0,28.0
42,8000.0,1,27.0,CAT4,0.5,1,43,10.0,12.892,9405618,2021-08-03T12:02:34.545Z,150.0,8004.0,28.0
43,8000.0,1,27.0,CAT5,0.3,1,44,10.0,12.984,9407552,2021-08-03T12:02:53.886Z,150.0,7995.0,29.0
44,8000.0,1,27.0,CAT6,0.3,1,45,10.0,12.97,9409204,2021-08-03T12:03:10.406Z,150.0,8004.0,29.0
45,8000.0,1,27.0,CAT7,0.6,1,46,10.0,12.935,9410870,2021-08-03T12:03:27.066Z,150.0,8004.0,29.0
46,8000.0,1,27.0,CAT8,0.6,1,47,10.0,12.956,9412786,2021-08-03T12:03:46.227Z,136.0,8001.0,29.0
47,8000.0,1,27.0,CAT9,0.3,1,48,10.0,13.041,9414738,2021-08-03T12:04:05.747Z,136.0,8004.0,29.0
48,8000.0,1,27.0,CAT10,0.3,1,49,10.0,12.843,9416398,2021-08-03T12:04:22.347Z,128.0,7999.0,29.0
49,8000.0,1,27.0,CAT11,0.5,1,50,1.1,12.892,9418074,2021-08-03T12:04:39.108Z,150.0,8003.0,29.0
50,8000.0,1,27.0,CAT12,0.3,11,51,10.0,28.179,9420535,2021-08-03T12:05:03.718Z,150.0,8039.0,27.0
51,8000.0,1,27.0,CAT1,0.4,1,52,10.0,12.892,9428420,2021-08-03T12:06:22.569Z,128.0,8001.0,28.0
52,7200.0,1,27.0,CAT2,0.4,1,53,10.0,12.814,9430416,2021-08-03T12:06:42.530Z,150.0,7196.0,28.0
53,8000.0,1,28.0,CAT3,0.5,1,54,10.0,12.999,9432422,2021-08-03T12:07:02.590Z,150.0,7998.0,29.0
54,8000.0,1,28.0,CAT4,0.5,1,55,10.0,12.906,9434896,2021-08-03T12:07:27.330Z,150.0,7996.0,29.0
55,8000.0,1,27.0,CAT5,0.5,1,56,10.0,12.956,9437350,2021-08-03T12:07:51.871Z,150.0,7996.0,29.0
56,8000.0,1,28.0,CAT6,0.4,1,57,10.0,12.906,9439356,2021-08-03T12:08:11.931Z,150.0,8007.0,29.0
57,8000.0,1,28.0,CAT7,0.6,1,58,10.0,12.8,9441344,2021-08-03T12:08:31.811Z,150.0,8002.0,29.0
58,8000.0,1,27.0,CAT8,0.5,1,59,10.0,12.864,9443816,2021-08-03T12:08:56.532Z,136.0,7999.0,29.0
59,8000.0,1,27.0,CAT9,0.4,1,60,10.0,13.013,9446284,2021-08-03T12:09:21.212Z,136.0,8000.0,29.0
60,8000.0,1,27.0,CAT10,0.4,1,61,10.0,12.97,9448300,2021-08-03T12:09:41.373Z,128.0,7993.0,29.0
61,8000.0,1,27.0,CAT11,0.6,1,62,1.1,13.062,9450330,2021-08-03T12:10:01.673Z,150.0,7997.0,29.0
62,8000.0,1,27.0,CAT12,0.3,11,63,10.0,33.325,9451856,2021-08-03T12:10:16.933Z,150.0,8025.0,25.0
63,8000.0,1,27.0,CAT13,0.3,11,64,10.0,36.518,9454385,2021-08-03T12:10:42.224Z,250.0,8029.0,25.0
64,8000.0,1,27.0,CAT14,0.4,11,65,10.0,27.559,9456373,2021-08-03T12:11:02.104Z,150.0,8036.0,25.0
65,8000.0,1,27.0,CAT15,0.3,11,66,15.0,33.231,9458301,2021-08-03T12:11:21.384Z,150.0,8032.0,27.0
66,8000.0,1,27.0,CAT16,0.2,11,67,10.0,36.27,9460390,2021-08-03T12:11:42.275Z,150.0,8030.0,27.0
67,8000.0,1,27.0,CAT17,0.2,11,68,10.0,29.822,9462139,2021-08-03T12:11:59.765Z,100.0,8020.0,27.0
68,8000.0,1,27.0,CAT18,0.4,11,69,10.0,15.097,9464180,2021-08-03T12:12:20.175Z,150.0,8009.0,27.0
69,8000.0,1,27.0,CAT19,0.4,11,70,10.0,30.69,9466104,2021-08-03T12:12:39.416Z,150.0,8034.0,27.0
70,7200.0,1,27.0,CAT20,0.2,11,71,10.0,25.233,9468182,2021-08-03T12:13:00.196Z,117.0,7224.0,27.0
71,8000.0,1,27.0,CAT21,0.3,11,72,7.5,30.41,9469922,2021-08-03T12:13:17.596Z,150.0,8026.0,27.0
72,10000.0,1,27.0,CAT22,0.4,11,73,17.0,36.084,9471988,2021-08-03T12:13:38.257Z,136.0,10055.0,27.0
73,8000.0,1,27.0,REV1,0.4,11,74,10.0,27.372,9474367,2021-08-03T12:14:02.047Z,125.0,8028.0,27.0
74,8000.0,1,28.0,REV2,0.4,11,75,6.0,33.046,9476639,2021-08-03T12:14:24.767Z,150.0,8029.0,27.0
75,6000.0,1,28.0,REV3,0.1,11,76,10.0,33.914,9478880,2021-08-03T12:14:47.178Z,150.0,6022.0,27.0
76,6000.0,1,28.0,REV4,0.3,11,77,9.0,33.077,9480585,2021-08-03T12:15:04.228Z,150.0,6025.0,27.0
77,8000.0,1,28.0,REV5,0.4,11,78,7.0,29.573,9482646,2021-08-03T12:15:24.838Z,136.0,8030.0,27.0
78,8000.0,1,28.0,REV6,0.4,11,79,18.0,36.983,9484727,2021-08-03T12:15:45.649Z,136.0,8011.0,28.0
79,8000.0,1,28.0,REV7,0.2,11,80,10.0,27.745,9486996,2021-08-03T12:16:08.339Z,150.0,7999.0,28.0
80,8000.0,1,28.0,REV8,0.3,11,81,10.0,35.618,9488736,2021-08-03T12:16:25.739Z,150.0,8023.0,28.0
81,7200.0,1,28.0,REV9,0.3,11,82,10.0,37.292,9491087,2021-08-03T12:16:49.250Z,150.0,7214.0,28.0
82,8000.0,1,28.0,PN1,0.1,1,83,18.0,13.211,9493267,2021-08-03T12:17:11.050Z,148.0,7997.0,27.0
83,6000.0,1,28.0,PN2,0.1,1,84,20.0,12.843,9494679,2021-08-03T12:17:25.171Z,150.0,6001.0,27.0
84,10000.0,1,28.0,PN3,0.2,1,85,30.0,12.722,9496171,2021-08-03T12:17:40.091Z,150.0,10002.0,28.0
85,12000.0,1,28.0,PN4,0.2,1,86,40.0,12.97,9497645,2021-08-03T12:17:54.831Z,150.0,12003.0,28.0
86,18000.0,1,28.0,PN5,0.3,1,87,10.0,12.97,9499187,2021-08-03T12:18:10.251Z,150.0,18004.0,28.0
87,8000.0,1,28.0,PN6,0.1,1,88,60.0,12.829,9500691,2021-08-03T12:18:25.291Z,150.0,8000.0,29.0
88,10000.0,1,28.0,PN7,0.1,1,89,70.0,12.921,9502147,2021-08-03T12:18:39.852Z,150.0,10003.0,29.0
89,8000.0,1,28.0,PN8,0.1,1,90,80.0,12.97,9503567,2021-08-03T12:18:54.052Z,150.0,8001.0,29.0
90,8000.0,1,28.0,CAT1,0.4,1,91,10.0,12.935,9506059,2021-08-03T12:19:18.972Z,128.0,7996.0,29.0
91,7200.0,1,27.0,CAT2,0.4,1,92,10.0,12.906,9508083,2021-08-03T12:19:39.213Z,150.0,7196.0,29.0
92,8000.0,1,27.0,CAT3,0.5,1,93,10.0,12.935,9510089,2021-08-03T12:19:59.273Z,150.0,8000.0,29.0
93,8000.0,1,27.0,CAT4,0.5,1,94,10.0,12.97,9512547,2021-08-03T12:20:23.853Z,150.0,7995.0,29.0
94,8000.0,1,27.0,CAT5,0.5,1,95,10.0,12.999,9515009,2021-08-03T12:20:48.474Z,150.0,8000.0,29.0
95,8000.0,1,27.0,CAT6,0.4,1,96,10.0,12.984,9517003,2021-08-03T12:21:08.414Z,150.0,7997.0,29.0
96,8000.0,1,27.0,CAT7,0.5,1,97,10.0,12.921,9519009,2021-08-03T12:21:28.474Z,150.0,7995.0,29.0
97,8000.0,1,27.0,CAT8,0.6,1,98,10.0,12.843,9521465,2021-08-03T12:21:53.035Z,136.0,7998.0,29.0
98,8000.0,1,27.0,CAT9,0.4,1,99,10.0,12.8,9523933,2021-08-03T12:22:17.715Z,136.0,7999.0,29.0
99,8000.0,1,28.0,CAT10,0.4,1,100,10.0,12.864,9525949,2021-08-03T12:22:37.876Z,128.0,7997.0,29.0
100,8000.0,1,27.0,CAT11,0.5,1,101,1.1,13.013,9527979,2021-08-03T12:22:58.176Z,150.0,8000.0,29.0
101,8000.0,1,27.0,CAT12,0.3,11,102,10.0,38.439,9531085,2021-08-03T12:23:29.236Z,150.0,8027.0,25.0
102,8000.0,1,27.0,CAT13,0.2,11,103,10.0,35.805,9533133,2021-08-03T12:23:49.717Z,250.0,8023.0,27.0
103,8000.0,1,27.0,CAT14,0.5,11,104,10.0,37.882,9535144,2021-08-03T12:24:09.827Z,150.0,8034.0,27.0
104,8000.0,1,27.0,CAT15,0.3,11,105,15.0,32.984,9537053,2021-08-03T12:24:28.918Z,150.0,8016.0,27.0
