,ist_acc,DIAM,statorCelsius,CurrentPeak,UTE,numTP,statoRot,@timestamp,spindleRpm,idChiave,rpmSetPoint,LUNG,VibromPeak,bearingsCelsius
0,654408,,0.0,5.453,,,1,2020-09-24T13:57:14.407Z,0.0,2326,0.0,,,0.0
1,3553006,300.0,27.0,20.468,FRESA300,1,1,2020-09-21T16:29:48.999Z,5487.0,2259,5500.0,58.799,2.0,25.0
2,3571283,90.0,32.0,20.382,TELAIO_1,1,1,2020-09-21T16:32:51.773Z,6902.0,2260,7000.0,147.0,0.2,25.0
3,3577652,90.0,32.0,20.485,TELAIO_2,1,1,2020-09-21T16:33:55.465Z,6897.0,2261,7000.0,147.0,0.2,25.0
4,3584093,90.099,32.0,20.485,TELAIO_4,1,1,2020-09-21T16:34:59.876Z,6969.0,2262,7000.0,147.0,0.3,27.0
5,1759033,300.0,27.0,20.4,FRESA300,1,1,2020-09-22T11:29:17.335Z,5431.0,2263,5500.0,58.799,2.7,25.0
6,1778783,90.0,30.0,20.723,TELAIO_1,1,1,2020-09-22T11:32:34.840Z,6945.0,2264,7000.0,147.0,0.5,25.0
7,1785603,90.0,30.0,20.451,TELAIO_2,1,1,2020-09-22T11:33:43.041Z,6984.0,2265,7000.0,147.0,0.3,25.0
8,1793397,90.099,30.0,20.518,TELAIO_4,1,1,2020-09-22T11:35:00.983Z,6939.0,2266,7000.0,147.0,0.4,25.0
9,1819188,90.0,30.0,20.485,TELAIO_5,1,1,2020-09-22T11:39:18.898Z,6922.0,2267,7000.0,147.0,0.3,25.0
10,1830290,10.0,30.0,20.212,FORA_10,1,1,2020-09-22T11:41:09.920Z,9973.0,2268,10000.0,145.0,0.4,25.0
11,2959504,20.0,25.0,20.247,CANDELA_20,1,1,2020-09-22T14:49:22.302Z,9789.0,2269,10000.0,188.0,0.3,25.0
12,3054032,20.0,25.0,20.145,CANDELA_20,1,1,2020-09-22T15:05:07.602Z,9893.0,2270,10000.0,188.0,0.3,25.0
13,3152673,20.0,27.0,20.298,CANDELA_20,1,1,2020-09-22T15:21:34.033Z,9809.0,2271,10000.0,188.0,0.2,25.0
14,3178553,20.0,25.0,20.162,CANDELA_20,1,1,2020-09-22T15:25:52.839Z,9885.0,2272,10000.0,188.0,0.2,25.0
15,3191115,20.0,25.0,20.247,CANDELA_20,1,1,2020-09-22T15:27:58.461Z,9891.0,2273,10000.0,188.0,0.2,25.0
16,3206423,20.0,25.0,20.179,CANDELA_20,1,1,2020-09-22T15:30:31.545Z,9879.0,2274,10000.0,188.0,0.3,25.0
17,583770,300.0,25.0,20.247,FRESA300,1,1,2020-09-23T08:07:36.755Z,5472.0,2275,5500.0,58.799,1.1,25.0
18,602782,10.0,32.0,20.162,FORA_10,1,1,2020-09-23T08:10:46.878Z,9950.0,2276,10000.0,143.5,1.1,25.0
