,UTE,VibromPeak,rpmSetPoint,@timestamp,spindleRpm,bearingsCelsius,ist_acc,statorCelsius,numTP,idChiave,CurrentPeak,LUNG,DIAM,statoRot
0,,,0.0,2020-10-16T08:33:19.370Z,0.0,0.0,331737,0.0,,6159,12.136,,,1
1,,,0.0,2020-10-19T05:26:35.358Z,0.0,0.0,142155,0.0,,6167,6.401,,,1
2,,,0.0,2020-10-19T05:27:58.399Z,0.0,0.0,150459,0.0,,6168,5.979,,,1
3,,,0.0,2020-10-19T06:33:31.106Z,0.0,0.0,543725,0.0,,6174,12.128,,,1
4,,,0.0,2020-10-19T09:16:57.877Z,0.0,0.0,711644,0.0,,6175,6.156,,,1
5,WIRUTEX_16,0.6,18000.0,2020-10-16T08:32:01.969Z,18018.0,24.0,323997,24.0,1,6158,20.179,150.1,16.0,1
6,WIRUTEX_16,0.7,18000.0,2020-10-16T08:43:59.590Z,17967.0,24.0,395758,25.0,1,6160,20.247,150.1,16.0,1
7,WIRUTEX_16,0.6,18000.0,2020-10-16T12:46:08.697Z,17963.0,24.0,1848647,24.0,1,6161,20.281,150.1,16.0,1
8,WIRUTEX_16,0.5,18000.0,2020-10-16T12:56:01.346Z,17988.0,25.0,1907911,25.0,1,6162,20.434,150.1,16.0,1
9,WIRUTEX_16,0.6,18000.0,2020-10-16T13:07:10.626Z,18002.0,24.0,1974838,25.0,1,6163,20.247,150.1,16.0,1
10,WIRUTEX_16,2.1,18000.0,2020-10-16T13:08:31.637Z,18004.0,25.0,1982939,32.0,1,6163,2.907,150.1,16.0,1
11,WIRUTEX_16,0.7,18000.0,2020-10-16T13:09:46.358Z,17858.0,27.0,1990411,34.0,1,6163,5.44,150.1,16.0,1
12,WIRUTEX_16,0.5,18000.0,2020-10-16T13:18:58.147Z,17997.0,25.0,2045589,27.0,1,6164,20.195,150.1,16.0,1
13,WIRUTEX_16,0.7,18000.0,2020-10-16T13:55:54.550Z,18013.0,24.0,2267226,25.0,1,6165,20.195,150.1,16.0,1
14,WIRUTEX_16,0.6,18000.0,2020-10-19T05:25:39.357Z,17988.0,19.0,136555,20.0,1,6166,20.179,150.1,16.0,1
15,WIRUTEX_16,0.8,18000.0,2020-10-19T05:48:26.872Z,17981.0,20.0,273305,20.0,1,6169,20.247,150.1,16.0,1
16,WIRUTEX_16,0.6,18000.0,2020-10-19T05:50:22.924Z,18034.0,22.0,284910,23.0,1,6170,20.298,150.1,16.0,1
17,WIRUTEX_16,0.5,18000.0,2020-10-19T05:59:14.120Z,18026.0,22.0,338029,22.0,1,6171,20.162,150.1,16.0,1
18,WIRUTEX_16,0.6,18000.0,2020-10-19T06:01:04.961Z,17981.0,22.0,349113,24.0,1,6172,20.212,150.1,16.0,1
19,WIRUTEX_16,0.6,18000.0,2020-10-19T06:32:12.735Z,17939.0,23.0,535888,23.0,1,6173,20.247,150.1,16.0,1
20,,,0.0,2020-10-21T07:56:44.238Z,0.0,0.0,1059852,0.0,,6187,8.828,,,1
21,,,0.0,2020-10-21T07:58:11.229Z,0.0,0.0,1068551,0.0,,6188,5.942,,,1
22,,,0.0,2020-10-21T08:01:42.882Z,0.0,0.0,1089716,0.0,,6189,5.927,,,1
23,,,0.0,2020-10-21T08:04:25.965Z,0.0,0.0,1106024,0.0,,6190,5.853,,,1
24,,,0.0,2020-10-21T08:05:50.566Z,0.0,0.0,1114484,0.0,,6191,9.079,,,1
25,,,0.0,2020-10-21T08:07:29.067Z,0.0,0.0,1124334,0.0,,6192,12.224,,,1
26,,,0.0,2020-10-21T08:08:44.088Z,0.0,0.0,1131836,0.0,,6193,5.779,,,1
27,,,0.0,2020-10-21T08:45:55.230Z,0.0,0.0,1354947,0.0,,6194,12.202,,,1
28,,,0.0,2020-10-21T08:48:47.233Z,0.0,0.0,1372147,0.0,,6195,12.239,,,1
29,,,0.0,2020-10-21T08:51:40.885Z,0.0,0.0,1389512,0.0,,6196,12.173,,,1
30,,,0.0,2020-10-21T08:53:25.017Z,0.0,0.0,1399925,0.0,,6197,12.224,,,1
31,,,0.0,2020-10-21T08:55:25.548Z,0.0,0.0,1411978,0.0,,6198,12.054,,,1
32,,,0.0,2020-10-21T10:22:40.185Z,0.0,0.0,1935434,0.0,,6201,12.187,,,1
33,,,0.0,2020-10-21T10:23:36.136Z,0.0,0.0,1941029,0.0,,6202,6.112,,,1
34,,,0.0,2020-10-21T10:43:53.864Z,0.0,0.0,2062800,0.0,,6203,12.187,,,1
35,,,0.0,2020-10-21T12:16:42.697Z,0.0,0.0,2619675,0.0,,6205,5.905,,,1
36,,,0.0,2020-10-21T12:17:34.877Z,0.0,0.0,2624893,0.0,,6206,12.039,,,1
37,,,0.0,2020-10-21T12:22:53.032Z,0.0,0.0,2656708,0.0,,6207,12.113,,,1
38,,,0.0,2020-10-21T12:24:11.113Z,0.0,0.0,2664516,0.0,,6208,12.054,,,1
39,,,0.0,2020-10-21T12:29:02.018Z,0.0,0.0,2693606,0.0,,6209,5.712,,,1
40,,,0.0,2020-10-21T12:29:47.848Z,0.0,0.0,2698189,0.0,,6210,12.032,,,1
41,,,0.0,2020-10-21T12:49:13.606Z,0.0,0.0,2814763,0.0,,6213,6.356,,,1
42,,,0.0,2020-10-21T12:58:14.834Z,0.0,0.0,2868885,0.0,,6215,8.865,,,1
43,,,0.0,2020-10-21T13:00:32.166Z,0.0,0.0,2882618,0.0,,6216,5.749,,,1
44,,,0.0,2020-10-21T13:16:01.030Z,0.0,0.0,2975503,0.0,,6218,5.964,,,1
45,,,0.0,2020-10-21T13:17:32.951Z,0.0,0.0,2984695,0.0,,6219,12.165,,,1
46,,,0.0,2020-10-22T05:22:16.242Z,0.0,0.0,140915,0.0,,6221,12.173,,,1
47,,,0.0,2020-10-22T05:42:09.525Z,0.0,0.0,260242,0.0,,6223,12.113,,,1
48,,,0.0,2020-10-22T06:09:18.365Z,0.0,0.0,423124,0.0,,6227,12.261,,,1
49,,,0.0,2020-10-22T06:19:29.702Z,0.0,0.0,484257,0.0,,6229,12.165,,,1
50,,,0.0,2020-10-22T06:30:59.521Z,0.0,0.0,553238,0.0,,6230,5.675,,,1
51,,,0.0,2020-10-22T06:32:51.543Z,0.0,0.0,564440,0.0,,6231,5.646,,,1
52,,,0.0,2020-10-22T07:20:30.521Z,0.0,0.0,850334,0.0,,6235,6.06,,,1
53,,,0.0,2020-10-22T07:24:57.385Z,0.0,0.0,877020,0.0,,6236,5.868,,,1
54,,,0.0,2020-10-22T07:31:22.021Z,0.0,0.0,915483,0.0,,6238,5.698,,,1
55,,,0.0,2020-10-22T07:44:25.582Z,0.0,0.0,993838,0.0,,6239,6.245,,,1
56,,,0.0,2020-10-22T09:40:38.154Z,0.0,0.0,1691085,0.0,,6241,12.032,,,1
57,,,0.0,2020-10-22T09:41:25.585Z,0.0,0.0,1695828,0.0,,6242,6.023,,,1
58,,,0.0,2020-10-22T09:49:45.272Z,0.0,0.0,1745796,0.0,,6244,6.023,,,1
59,,,0.0,2020-10-22T09:51:12.713Z,0.0,0.0,1754540,0.0,,6245,5.757,,,1
60,,,0.0,2020-10-22T10:06:56.577Z,0.0,0.0,1848925,0.0,,6246,8.843,,,1
61,,,0.0,2020-10-22T10:10:35.271Z,0.0,0.0,1870794,0.0,,6247,5.772,,,1
62,,,0.0,2020-10-22T12:10:04.628Z,0.0,0.0,2587719,0.0,,6250,5.905,,,1
63,,,0.0,2020-10-22T12:37:12.872Z,0.0,0.0,2750541,0.0,,6257,5.92,,,1
64,,,0.0,2020-10-22T12:41:16.246Z,0.0,0.0,2774878,0.0,,6258,5.624,,,1
65,,,0.0,2020-10-22T13:11:37.053Z,0.0,0.0,2956956,0.0,,6261,8.909,,,1
66,,,0.0,2020-10-22T13:24:42.525Z,0.0,0.0,3035502,0.0,,6263,12.21,,,1
67,,,0.0,2020-10-22T13:43:21.422Z,0.0,0.0,3147390,0.0,,6264,5.92,,,1
68,,,0.0,2020-10-22T13:52:08.690Z,0.0,0.0,3200116,0.0,,6266,5.831,,,1
69,,,0.0,2020-10-23T09:22:25.979Z,0.0,0.0,1595767,0.0,,6276,5.831,,,1
70,,,0.0,2020-10-23T13:40:40.331Z,0.0,0.0,3145163,0.0,,6282,5.779,,,1
71,,,0.0,2020-10-27T11:51:01.888Z,0.0,0.0,2120561,0.0,,6286,12.173,,,1
72,,,0.0,2020-10-27T11:55:10.162Z,0.0,0.0,2145388,0.0,,6288,12.224,,,1
73,,,0.0,2020-10-27T11:57:44.564Z,0.0,0.0,2160828,0.0,,6290,12.21,,,1
74,,,0.0,2020-10-27T11:59:54.846Z,0.0,0.0,2173856,0.0,,6292,9.042,,,1
75,,,0.0,2020-10-27T13:05:07.050Z,0.0,0.0,2565071,0.0,,6294,12.15,,,1
76,,,0.0,2020-10-27T13:07:23.872Z,0.0,0.0,2578753,0.0,,6296,8.909,,,1
77,,,0.0,2020-10-27T13:17:50.831Z,0.0,0.0,2641448,0.0,,6302,12.165,,,1
78,,,0.0,2020-10-28T07:02:14.445Z,0.0,0.0,297720,0.0,,6308,12.076,,,1
79,,,0.0,2020-10-28T07:13:28.797Z,0.0,0.0,365155,0.0,,6311,5.92,,,1
80,,,0.0,2020-10-28T07:15:25.848Z,0.0,0.0,376860,0.0,,6313,6.001,,,1
81,WIRUTEX_16,0.3,18000.0,2020-10-21T05:16:55.478Z,17618.0,18.0,100988,19.0,1,6176,20.212,150.1,16.0,1
