,spindleRpm,statorCelsius,VibromPeak,ist_acc,LUNG,@timestamp,DIAM,numTP,CurrentPeak,rpmSetPoint,bearingsCelsius,statoRot,UTE,idChiave
0,16022.0,25.0,1.7,1646413,137.5,2020-11-20T10:31:35.720Z,50.0,1,20.315,16000.0,23.0,1,615_B1,2904
1,17977.0,27.0,1.8,1649039,132.0,2020-11-20T10:32:01.980Z,35.0,1,20.212,18000.0,23.0,1,615_C1,2905
2,15955.0,27.0,1.9,1662405,137.5,2020-11-20T10:34:15.642Z,50.0,1,20.281,16000.0,23.0,1,615_B1,2906
3,18003.0,27.0,2.0,1665044,132.0,2020-11-20T10:34:42.032Z,35.0,1,20.247,18000.0,23.0,1,615_C1,2907
4,17953.0,24.0,0.6,1830160,181.699,2020-11-20T11:02:13.213Z,14.0,1,20.502,18000.0,22.0,1,FRESA_14X100,2908
5,17995.0,25.0,1.1,1892721,181.699,2020-11-20T11:12:38.831Z,14.0,1,20.298,18000.0,23.0,1,FRESA_14X100,2909
6,17945.0,25.0,3.0,1937929,181.699,2020-11-20T11:20:10.917Z,14.0,1,20.195,18000.0,24.0,1,FRESA_14X100,2910
7,18028.0,27.0,2.6,1976471,181.699,2020-11-20T11:26:36.341Z,14.0,1,20.212,18000.0,24.0,1,FRESA_14X100,2911
8,17961.0,25.0,2.3,2008184,181.699,2020-11-20T11:31:53.475Z,14.0,1,20.315,18000.0,23.0,1,FRESA_14X100,2912
9,17993.0,25.0,2.7,2055934,181.699,2020-11-20T11:39:50.981Z,14.0,1,20.365,18000.0,23.0,1,FRESA_14X100,2913
10,17974.0,25.0,2.0,2102633,181.699,2020-11-20T11:47:37.977Z,14.0,1,20.382,18000.0,24.0,1,FRESA_14X100,2914
11,18013.0,27.0,1.6,2144175,181.699,2020-11-20T11:54:33.403Z,14.0,1,20.349,18000.0,24.0,1,FRESA_14X100,2915
12,14996.0,30.0,1.4,2153114,143.8,2020-11-20T11:56:02.794Z,11.3,1,20.179,15000.0,25.0,1,FRESA_12X52,2916
13,17996.0,25.0,2.2,2183651,181.699,2020-11-20T12:01:08.168Z,14.0,1,20.298,18000.0,23.0,1,FRESA_14X100,2917
14,15018.0,30.0,1.2,2192436,143.8,2020-11-20T12:02:36.019Z,11.3,1,20.315,15000.0,24.0,1,FRESA_12X52,2918
15,14926.0,29.0,1.0,2587567,143.8,2020-11-20T13:08:27.378Z,11.3,1,20.332,15000.0,24.0,1,FRESA_12X52,2920
16,18038.0,25.0,1.0,2578880,181.699,2020-11-20T13:07:00.507Z,14.0,1,20.179,18000.0,23.0,1,FRESA_14X100,2919
17,17967.0,25.0,2.0,2647256,181.699,2020-11-20T13:18:24.276Z,14.0,1,20.212,18000.0,24.0,1,FRESA_14X100,2921
18,14949.0,30.0,1.1,2656407,143.8,2020-11-20T13:19:55.787Z,11.3,1,20.128,15000.0,25.0,1,FRESA_12X52,2922
19,17967.0,25.0,1.9,2690132,181.699,2020-11-20T13:25:33.041Z,14.0,1,20.365,18000.0,23.0,1,FRESA_14X100,2923
20,14949.0,29.0,0.8,2699293,143.8,2020-11-20T13:27:04.652Z,11.3,1,20.212,15000.0,24.0,1,FRESA_12X52,2924
21,15975.0,25.0,1.6,2891106,137.5,2020-11-20T13:59:02.807Z,50.0,1,20.349,16000.0,24.0,1,615_B1,2925
22,18024.0,28.0,1.9,2898870,132.0,2020-11-20T14:00:20.448Z,35.0,1,20.298,18000.0,24.0,1,615_C1,2926
23,19999.0,32.0,1.2,2912870,125.9,2020-11-20T14:02:40.450Z,20.0,1,20.247,20000.0,24.0,1,615_D1,2927
24,15962.0,34.0,1.8,2921208,137.5,2020-11-20T14:04:03.831Z,50.0,1,20.281,16000.0,25.0,1,615_B1,2928
25,17992.0,34.0,2.0,2924332,132.0,2020-11-20T14:04:35.071Z,35.0,1,20.315,18000.0,25.0,1,615_C1,2929
26,20039.0,33.0,1.2,2928925,125.9,2020-11-20T14:05:21.002Z,20.0,1,20.264,20000.0,24.0,1,615_D1,2930
27,14932.0,34.0,0.6,2932174,153.899,2020-11-20T14:05:53.492Z,15.7,1,20.281,15000.0,24.0,1,FRESA_16X52,2931
28,17972.0,32.0,0.6,2947168,181.699,2020-11-20T14:08:23.434Z,14.0,1,20.247,18000.0,24.0,1,FRESA_14X100,2932
29,14985.0,24.0,0.4,3158852,153.899,2020-11-20T14:43:40.301Z,15.7,1,20.247,15000.0,22.0,1,FRESA_16X52,2933
30,5909.0,28.0,1.4,3173913,97.8,2020-11-20T14:46:10.913Z,301.1,1,20.451,6000.0,23.0,1,FRESA300,2934
31,14991.0,25.0,0.6,3350738,153.899,2020-11-20T15:15:39.185Z,15.7,1,20.212,15000.0,24.0,1,FRESA_16X52,2935
32,5926.0,27.0,1.7,3354899,97.8,2020-11-20T15:16:20.796Z,301.1,1,20.247,6000.0,24.0,1,FRESA300,2936
