,idChiave,DIAM,ist_acc,numTP,CurrentPeak,rpmSetPoint,statorCelsius,spindleRpm,bearingsCelsius,VibromPeak,statoRot,@timestamp,LUNG,UTE
0,2161,12.0,3714256,1,20.23,18000.0,17.0,17980.0,17.0,2.3,1,2020-12-02T17:09:44.886Z,121.833,FRESA12_PROVA
1,2162,80.0,505926,1,20.212,12000.0,12.0,11843.0,13.0,0.5,1,2020-12-03T08:26:55.542Z,108.9,SPIANA_PROVA
2,2162,80.0,547768,1,3.757,12000.0,19.0,11893.0,15.0,0.7,1,2020-12-03T08:33:53.966Z,108.9,SPIANA_PROVA
3,2163,80.0,681275,1,20.281,12000.0,22.0,11934.0,20.0,0.8,1,2020-12-03T08:56:09.048Z,108.9,SPIANA_PROVA
4,2163,80.0,777505,1,2.703,12000.0,27.0,11860.0,22.0,0.9,1,2020-12-03T09:12:11.357Z,108.9,SPIANA_PROVA
5,2163,80.0,777394,1,3.213,12000.0,27.0,11984.0,22.0,0.8,1,2020-12-03T09:12:10.247Z,108.9,SPIANA_PROVA
6,2163,80.0,777547,1,3.774,12000.0,27.0,11636.0,22.0,0.9,1,2020-12-03T09:12:11.777Z,108.9,SPIANA_PROVA
7,2170,,1201999,,6.926,0.0,0.0,0.0,0.0,,1,2020-12-14T13:21:51.797Z,,
8,2171,,1264857,,6.452,0.0,0.0,0.0,0.0,,1,2020-12-14T13:32:20.382Z,,
9,2172,,1283822,,12.21,0.0,0.0,0.0,0.0,,1,2020-12-14T13:35:30.034Z,,
10,2173,120.0,1349369,8,8.85,6000.0,0.0,0.0,0.0,,1,2020-12-14T13:46:25.510Z,2.0,LAMA120
11,2174,120.0,1388589,8,12.017,6000.0,0.0,0.0,0.0,,1,2020-12-14T13:52:57.714Z,2.0,LAMA120
12,2182,120.0,2966855,8,12.076,6000.0,0.0,0.0,0.0,,1,2020-12-15T15:21:18.867Z,2.0,LAMA120
13,2183,,2969687,,11.98,0.0,0.0,0.0,0.0,,1,2020-12-15T15:21:47.187Z,,
14,2186,120.0,2995817,8,6.001,6000.0,0.0,0.0,0.0,,1,2020-12-15T15:26:08.488Z,2.0,LAMA120
15,2187,,2998474,,5.89,0.0,0.0,0.0,0.0,,1,2020-12-15T15:26:35.058Z,,
16,2191,,2350911,,6.556,0.0,0.0,0.0,0.0,,1,2020-12-16T13:30:00.208Z,,
17,2194,,2376574,,12.032,0.0,0.0,0.0,0.0,,1,2020-12-16T13:34:16.841Z,,
18,2196,,2428335,,6.053,0.0,0.0,0.0,0.0,,1,2020-12-16T13:42:54.457Z,,
19,2199,,2446599,,12.136,0.0,0.0,0.0,0.0,,1,2020-12-16T13:45:57.100Z,,
20,2201,,220579,,6.497,0.0,0.0,0.0,0.0,,1,2020-12-17T07:42:31.252Z,,
21,2202,,235494,,12.002,0.0,0.0,0.0,0.0,,1,2020-12-17T07:45:00.403Z,,
22,2203,,268634,,12.173,0.0,0.0,0.0,0.0,,1,2020-12-17T07:50:31.806Z,,
23,2205,,101474,,12.076,0.0,0.0,0.0,0.0,,1,2020-12-17T10:36:07.665Z,,
24,2204,,68751,,12.187,0.0,0.0,0.0,0.0,,1,2020-12-17T10:30:40.432Z,,
25,2164,12.0,2463492,1,20.179,18000.0,14.0,18028.0,15.0,3.4,1,2020-12-03T13:53:11.399Z,121.833,FRESA12_PROVA
26,2164,12.0,2479343,1,4.233,18000.0,20.0,18003.0,17.0,2.1,1,2020-12-03T13:55:49.911Z,121.833,FRESA12_PROVA
27,2165,12.0,209402,1,20.128,18000.0,10.0,18016.0,11.0,1.7,1,2020-12-04T07:40:17.306Z,121.833,FRESA12_PROVA
28,2166,12.0,804247,1,20.264,18000.0,13.0,17983.0,13.0,4.4,1,2020-12-04T09:19:25.817Z,121.833,FRESA12_PROVA
29,2167,12.0,1302607,1,20.212,18000.0,20.0,17982.0,20.0,1.6,1,2020-12-04T10:42:29.474Z,121.833,FRESA12_PROVA
30,2168,12.0,1364528,1,20.162,18000.0,22.0,18016.0,22.0,1.4,1,2020-12-04T10:52:48.691Z,121.833,FRESA12_PROVA
31,2168,12.0,1493348,1,3.774,18000.0,32.0,18004.0,27.0,1.3,1,2020-12-04T11:14:16.907Z,121.833,FRESA12_PROVA
32,2168,12.0,1493681,1,3.366,18000.0,32.0,17654.0,27.0,1.5,1,2020-12-04T11:14:20.237Z,121.833,FRESA12_PROVA
33,2168,12.0,1496383,1,3.128,18000.0,32.0,17634.0,27.0,1.7,1,2020-12-04T11:14:47.257Z,121.833,FRESA12_PROVA
34,2169,80.0,1515198,1,20.315,12000.0,25.0,11338.0,25.0,0.7,1,2020-12-04T11:17:55.409Z,108.9,SPIANA_PROVA
35,2175,100.0,1513536,1,20.212,14000.0,13.0,13973.0,13.0,1.3,1,2020-12-15T11:19:05.628Z,111.03,SPIANA_LZ
36,2176,100.0,1523486,1,20.162,14000.0,13.0,13924.0,14.0,0.6,1,2020-12-15T11:20:45.129Z,111.03,SPIANA_LZ
37,2177,100.0,1565125,1,20.212,14000.0,14.0,13987.0,15.0,0.7,1,2020-12-15T11:27:41.520Z,111.03,SPIANA_LZ
38,2178,100.0,1588486,1,20.162,14000.0,15.0,13893.0,15.0,0.6,1,2020-12-15T11:31:35.131Z,111.03,SPIANA_LZ
39,2179,12.0,1627608,1,20.162,18000.0,17.0,17981.0,17.0,2.1,1,2020-12-15T11:38:06.352Z,121.86,FRESA12_PROVA
40,2180,100.0,2608736,1,20.281,14000.0,15.0,13990.0,15.0,1.3,1,2020-12-15T14:21:37.665Z,111.03,SPIANA_LZ
41,2180,100.0,2686218,1,2.703,14000.0,24.0,13983.0,20.0,1.1,1,2020-12-15T14:34:32.487Z,111.03,SPIANA_LZ
42,2180,100.0,2701029,1,2.737,14000.0,24.0,13863.0,22.0,1.3,1,2020-12-15T14:37:00.598Z,111.03,SPIANA_LZ
43,2181,100.0,2766309,1,20.247,14000.0,22.0,13610.0,22.0,0.6,1,2020-12-15T14:47:53.400Z,111.029,SPIANA_LZ
44,2184,80.0,2971651,1,20.247,12000.0,20.0,11725.0,20.0,0.4,1,2020-12-15T15:22:06.827Z,108.887,SPIANA_PROVA
45,2185,12.0,2976736,1,20.264,18000.0,22.0,17582.0,20.0,2.1,1,2020-12-15T15:22:57.678Z,121.86,FRESA12_PROVA
46,2188,80.0,3000262,1,20.281,12000.0,20.0,11976.0,20.0,0.4,1,2020-12-15T15:26:52.938Z,108.887,SPIANA_PROVA
