,statorCelsius,LUNG,VibromPeak,spindleRpm,@timestamp,DIAM,ist_acc,idChiave,rpmSetPoint,numTP,bearingsCelsius,CurrentPeak,UTE,statoRot
0,35.0,118.0,1.2,18000.0,2021-07-22T05:48:18.547Z,8.9,2328604,7112,18000.0,1,0.0,31.65,R9MM_25,1
1,28.0,98.349,2.8,3935.0,2021-07-22T05:54:32.254Z,351.0,2365974,7113,4000.0,1,0.0,27.249,FRESA350,1
2,29.0,127.8,0.3,5015.0,2021-07-22T05:54:58.624Z,8.0,2368611,7114,5000.0,1,0.0,21.576,R0MM_53,1
3,29.0,259.7,0.3,1973.0,2021-07-22T05:57:24.297Z,16.0,2383178,7115,2000.0,1,0.0,29.419,TH_16MM_182,1
4,30.0,98.349,2.7,3925.0,2021-07-22T06:06:07.545Z,351.0,2435502,7116,4000.0,1,0.0,31.62,FRESA350,1
5,30.0,98.349,1.2,4001.0,2021-07-22T06:08:53.318Z,351.0,2452079,7116,4000.0,1,0.0,1.953,FRESA350,1
6,30.0,98.349,2.6,4001.0,2021-07-22T06:09:23.839Z,351.0,2455131,7116,4000.0,1,0.0,6.324,FRESA350,1
7,35.0,118.0,1.3,18059.0,2021-07-22T06:12:47.242Z,8.9,2475471,7117,18000.0,1,0.0,28.117,R9MM_25,1
8,30.0,98.349,2.2,3992.0,2021-07-22T06:16:17.066Z,351.0,2496453,7118,4000.0,1,0.0,26.504,FRESA350,1
9,32.0,127.8,0.3,5012.0,2021-07-22T06:16:43.556Z,8.0,2499102,7119,5000.0,1,0.0,32.487,R0MM_53,1
10,27.0,259.7,0.3,2019.0,2021-07-22T06:20:32.820Z,16.0,2522028,7120,2000.0,1,0.0,34.441,TH_16MM_182,1
11,29.0,98.349,2.2,3917.0,2021-07-22T06:29:18.089Z,351.0,2574554,7121,4000.0,1,0.0,26.598,FRESA350,1
12,30.0,98.349,3.9,4002.0,2021-07-22T06:32:04.992Z,351.0,2591244,7121,4000.0,1,0.0,0.961,FRESA350,1
13,30.0,98.349,2.2,4002.0,2021-07-22T06:32:43.173Z,351.0,2595062,7121,4000.0,1,0.0,0.558,FRESA350,1
14,35.0,118.0,0.9,18066.0,2021-07-22T06:36:06.996Z,8.9,2615444,7122,18000.0,1,0.0,25.42,R9MM_25,1
15,30.0,98.349,2.5,3906.0,2021-07-22T06:39:11.629Z,351.0,2633907,7123,4000.0,1,0.0,24.273,FRESA350,1
16,30.0,127.8,0.3,4962.0,2021-07-22T06:39:38.160Z,8.0,2636560,7124,5000.0,1,0.0,29.481,R0MM_53,1
17,28.0,259.7,0.3,1978.0,2021-07-22T06:43:28.834Z,16.0,2659627,7125,2000.0,1,0.0,34.099,TH_16MM_182,1
18,29.0,98.349,2.7,3921.0,2021-07-22T06:49:32.860Z,351.0,2696029,7126,4000.0,1,0.0,34.285,FRESA350,1
19,30.0,98.349,3.3,3967.0,2021-07-22T06:50:38.801Z,351.0,2702623,7127,4000.0,1,0.0,30.101,FRESA350,1
20,30.0,98.349,0.9,3911.0,2021-07-22T06:50:55.731Z,351.0,2704316,7128,4000.0,1,0.0,29.791,FRESA350,1
21,27.0,259.7,0.4,2017.0,2021-07-22T07:16:03.357Z,16.0,2855076,7129,2000.0,1,0.0,37.851,TH_16MM_182,1
22,27.0,98.349,2.6,3976.0,2021-07-22T07:17:55.289Z,351.0,2866269,7130,4000.0,1,0.0,33.728,FRESA350,1
