,bearingsCelsius,idChiave,UTE,statoRot,spindleRpm,statorCelsius,LUNG,CurrentPeak,@timestamp,VibromPeak,rpmSetPoint,ist_acc,DIAM,numTP
0,0.0,3941,AGGRE-TILT-1-TILT_DRILL_12,1,0.0,0.0,108.0,11.77,2021-06-30T07:54:54.459Z,,4000.0,15775541,12.0,2
1,0.0,3945,AGGRE-TILT-1-TILT_DRILL_12,1,0.0,0.0,108.0,11.605,2021-06-30T08:02:43.962Z,,4000.0,16010291,12.0,2
2,0.0,3949,AGGRE-TILT-1-TILT_DRILL_12,1,0.0,0.0,108.0,11.792,2021-06-30T08:10:00.755Z,,4000.0,16228686,12.0,2
3,0.0,3953,AGGRE-TILT-1-TILT_DRILL_12,1,0.0,0.0,108.0,12.034,2021-06-30T08:18:34.075Z,,4000.0,16485344,12.0,2
4,0.0,3957,AGGRE-TILT-1-TILT_DRILL_12,1,0.0,0.0,108.0,12.001,2021-06-30T08:25:46.106Z,,4000.0,16701358,12.0,2
5,0.0,3961,AGGRE-TILT-1-TILT_DRILL_12,1,0.0,0.0,108.0,11.671,2021-06-30T08:34:08.603Z,,4000.0,16952605,12.0,2
6,0.0,3965,AGGRE-TILT-1-TILT_DRILL_12,1,0.0,0.0,108.0,11.484,2021-06-30T08:42:43.789Z,,4000.0,17210196,12.0,2
7,0.0,3969,AGGRE-TILT-1-TILT_DRILL_12,1,0.0,0.0,108.0,11.814,2021-06-30T08:49:59.922Z,,4000.0,17428261,12.0,2
8,0.0,3973,AGGRE-TILT-1-TILT_DRILL_12,1,0.0,0.0,108.0,11.913,2021-06-30T08:58:16.032Z,,4000.0,17676314,12.0,2
9,0.0,3977,AGGRE-TILT-1-TILT_DRILL_12,1,0.0,0.0,108.0,11.792,2021-06-30T09:10:20.215Z,,4000.0,18038403,12.0,2
10,0.0,3979,AGGRE-TILT-1-TILT_DRILL_12,1,0.0,0.0,108.0,11.913,2021-07-01T02:23:20.627Z,,4000.0,365746,12.0,2
11,0.0,3980,,1,0.0,0.0,,12.609,2021-07-01T02:23:36.723Z,,0.0,373794,,
12,0.0,3981,AGGRE-TILT-1-TILT_DRILL_12,1,0.0,0.0,107.699,11.693,2021-07-01T02:32:53.203Z,,4000.0,652032,12.0,2
13,0.0,3982,,1,0.0,0.0,,6.149,2021-07-01T02:33:09.787Z,,0.0,660324,,
14,0.0,3983,AGGRE-TILT-1-TILT_DRILL_12,1,0.0,0.0,107.699,11.77,2021-07-01T02:41:25.387Z,,4000.0,908122,12.0,2
15,0.0,3984,,1,0.0,0.0,,5.927,2021-07-01T02:41:41.977Z,,0.0,916417,,
16,0.0,3985,AGGRE-TILT-1-TILT_DRILL_12,1,0.0,0.0,107.699,11.836,2021-07-01T02:44:27.985Z,,4000.0,999420,12.0,2
17,0.0,3986,,1,0.0,0.0,,5.72,2021-07-01T02:44:44.619Z,,0.0,1007737,,
18,0.0,3987,AGGRE-TILT-1-TILT_DRILL_12,1,0.0,0.0,107.699,11.605,2021-07-01T02:49:36.720Z,,4000.0,1153786,12.0,2
19,0.0,3988,,1,0.0,0.0,,12.261,2021-07-01T02:49:53.260Z,,0.0,1162056,,
20,0.0,3989,AGGRE-TILT-1-TILT_DRILL_12,1,0.0,0.0,107.699,11.715,2021-07-01T02:57:12.110Z,,4000.0,1381479,12.0,2
21,0.0,3990,,1,0.0,0.0,,5.986,2021-07-01T02:57:28.688Z,,0.0,1389768,,
22,0.0,3991,AGGRE-TILT-1-TILT_DRILL_12,1,0.0,0.0,107.699,11.726,2021-07-01T04:19:50.644Z,,4000.0,3860721,12.0,2
23,0.0,3992,,1,0.0,0.0,,12.483,2021-07-01T04:20:07.220Z,,0.0,3869009,,
24,0.0,3993,AGGRE-TILT-1-TILT_DRILL_12,1,0.0,0.0,107.699,11.858,2021-07-01T04:22:12.671Z,,4000.0,3931734,12.0,2
25,0.0,3994,,1,0.0,0.0,,5.964,2021-07-01T04:22:29.217Z,,0.0,3940007,,
26,0.0,3995,AGGRE-TILT-1-TILT_DRILL_12,1,0.0,0.0,107.699,11.792,2021-07-01T04:23:44.954Z,,4000.0,3977875,12.0,2
27,0.0,3996,,1,0.0,0.0,,5.942,2021-07-01T04:24:01.514Z,,0.0,3986155,,
28,0.0,3997,AGGRE-TILT-1-TILT_DRILL_12,1,0.0,0.0,107.699,11.649,2021-07-01T04:25:21.571Z,,4000.0,4026183,12.0,2
29,0.0,3998,,1,0.0,0.0,,5.594,2021-07-01T04:25:38.167Z,,0.0,4034481,,
30,0.0,3999,AGGRE-TILT-1-TILT_DRILL_12,1,0.0,0.0,107.699,11.627,2021-07-01T04:30:11.818Z,,4000.0,4171305,12.0,2
31,0.0,4000,,1,0.0,0.0,,12.483,2021-07-01T04:30:28.310Z,,0.0,4179551,,
32,0.0,4001,AGGRE-TILT-1-TILT_DRILL_12,1,0.0,0.0,107.699,12.144,2021-07-01T04:31:44.083Z,,4000.0,4217437,12.0,2
33,0.0,4002,,1,0.0,0.0,,12.528,2021-07-01T04:32:00.695Z,,0.0,4225743,,
34,0.0,4003,AGGRE-TILT-1-TILT_DRILL_12,1,0.0,0.0,107.699,11.693,2021-07-01T04:33:07.986Z,,4000.0,4259388,12.0,2
35,0.0,4004,,1,0.0,0.0,,12.565,2021-07-01T04:33:24.548Z,,0.0,4267669,,
36,0.0,4005,AGGRE-TILT-1-TILT_DRILL_12,1,0.0,0.0,107.699,11.583,2021-07-01T04:34:34.267Z,,4000.0,4302528,12.0,2
37,0.0,4006,,1,0.0,0.0,,12.284,2021-07-01T04:34:50.831Z,,0.0,4310810,,
38,0.0,4007,AGGRE-TILT-1-TILT_DRILL_12,1,0.0,0.0,107.699,11.748,2021-07-01T04:39:50.882Z,,4000.0,4460834,12.0,2
39,0.0,4008,,1,0.0,0.0,,12.528,2021-07-01T04:40:07.446Z,,0.0,4469116,,
40,0.0,4009,AGGRE-TILT-1-TILT_DRILL_12,1,0.0,0.0,107.699,11.869,2021-07-01T04:41:13.593Z,,4000.0,4502189,12.0,2
41,0.0,4010,,1,0.0,0.0,,12.631,2021-07-01T04:41:30.257Z,,0.0,4510521,,
42,0.0,4011,AGGRE-TILT-1-TILT_DRILL_12,1,0.0,0.0,107.699,11.627,2021-07-01T04:42:39.497Z,,4000.0,4545141,12.0,2
43,0.0,4012,,1,0.0,0.0,,5.638,2021-07-01T04:42:56.102Z,,0.0,4553443,,
44,0.0,4013,AGGRE-TILT-1-TILT_DRILL_12,1,0.0,0.0,107.699,11.649,2021-07-01T04:44:10.088Z,,4000.0,4590436,12.0,2
45,0.0,4014,,1,0.0,0.0,,5.905,2021-07-01T04:44:26.686Z,,0.0,4598735,,
