,DIAM,UTE,@timestamp,spindleRpm,bearingsCelsius,VibromPeak,idChiave,rpmSetPoint,statoRot,CurrentPeak,statorCelsius,LUNG,ist_acc,numTP
0,300.0,B6314B0058-1-LAMA300,2022-02-11T16:16:39.557Z,0.0,0.0,,8167,5000.0,1,5.46,0.0,1.6,17850960,2
1,8.0,AGGRE115M-4-302_1,2022-02-11T16:17:05.345Z,0.0,0.0,,8168,4500.0,1,5.8,0.0,75.0,17863854,4
2,300.0,B6314B0058-1-LAMA300,2022-02-11T16:29:36.692Z,0.0,0.0,,8172,5000.0,1,5.33,0.0,1.6,18239525,2
3,8.0,AGGRE115M-2-302_2,2022-02-11T16:29:50.648Z,0.0,0.0,,8173,4500.0,1,5.78,0.0,75.0,18246503,4
4,8.0,AGGRE115M-2-302_2,2022-02-11T16:29:55.918Z,0.0,0.0,,8173,4500.0,1,3.61,0.0,75.0,18249138,4
5,8.0,AGGRE115M-2-302_2,2022-02-11T16:30:06.184Z,0.0,0.0,,8173,4500.0,1,3.76,0.0,75.0,18254271,4
6,300.0,B6314B0058-1-LAMA300,2022-02-11T16:47:05.276Z,0.0,0.0,,8177,5000.0,1,5.29,0.0,1.6,18763814,2
7,8.0,AGGRE115M-2-302_2,2022-02-11T16:47:19.351Z,0.0,0.0,,8178,4500.0,1,5.95,0.0,75.0,18770851,4
8,8.0,AGGRE115M-2-302_2,2022-02-11T16:47:24.795Z,0.0,0.0,,8178,4500.0,1,3.49,0.0,75.0,18773573,4
9,8.0,AGGRE115M-2-302_2,2022-02-11T16:47:35.303Z,0.0,0.0,,8178,4500.0,1,3.92,0.0,75.0,18778827,4
10,300.0,B6314B0058-1-LAMA300,2022-02-14T14:09:43.153Z,0.0,0.0,,8182,5000.0,1,5.29,0.0,1.6,14114735,2
11,8.0,AGGRE115M-2-302_2,2022-02-14T14:09:57.451Z,0.0,0.0,,8183,4500.0,1,5.76,0.0,75.0,14121884,4
12,8.0,AGGRE115M-2-302_2,2022-02-14T14:10:02.839Z,0.0,0.0,,8183,4500.0,1,3.59,0.0,75.0,14124578,4
13,8.0,AGGRE115M-2-302_2,2022-02-14T14:10:13.283Z,0.0,0.0,,8183,4500.0,1,3.74,0.0,75.0,14129800,4
14,300.0,B6314B0058-1-LAMA300,2022-02-14T14:14:58.259Z,0.0,0.0,,8189,5000.0,1,5.35,0.0,1.6,14272287,2
15,8.0,AGGRE115M-2-302_2,2022-02-14T14:15:31.175Z,0.0,0.0,,8190,4500.0,1,3.55,0.0,75.0,14288745,4
16,8.0,AGGRE115M-2-302_2,2022-02-14T14:15:24.387Z,0.0,0.0,,8190,4500.0,1,6.05,0.0,75.0,14285351,4
17,8.0,AGGRE115M-2-302_2,2022-02-14T14:15:41.417Z,0.0,0.0,,8190,4500.0,1,4.17,0.0,75.0,14293866,4
18,8.0,AGGRE115M-2-302_2,2022-02-14T14:15:49.919Z,0.0,0.0,,8190,4500.0,1,3.57,0.0,75.0,14298117,4
19,8.0,AGGRE115M-2-302_2,2022-02-14T14:16:00.165Z,0.0,0.0,,8190,4500.0,1,3.59,0.0,75.0,14303240,4
20,300.0,B6314B0058-1-LAMA300,2022-02-14T14:26:14.617Z,0.0,0.0,,8195,5000.0,1,5.56,0.0,1.6,14610464,2
21,8.0,AGGRE115M-4-302_1,2022-02-14T14:26:40.091Z,0.0,0.0,,8196,4500.0,1,5.68,0.0,75.0,14623201,4
22,8.0,AGGRE115M-4-302_1,2022-02-14T14:26:47.219Z,0.0,0.0,,8196,4500.0,1,3.57,0.0,75.0,14626765,4
23,8.0,AGGRE115M-4-302_1,2022-02-14T14:26:53.939Z,0.0,0.0,,8196,4500.0,1,3.64,0.0,75.0,14630125,4
24,8.0,AGGRE115M-4-302_1,2022-02-14T14:26:59.695Z,0.0,0.0,,8196,4500.0,1,3.74,0.0,75.0,14633003,4
25,8.0,AGGRE115M-4-302_1,2022-02-14T14:27:13.819Z,0.0,0.0,,8196,4500.0,1,3.68,0.0,75.0,14640065,4
26,8.0,AGGRE115M-4-302_1,2022-02-14T14:27:23.719Z,0.0,0.0,,8196,4500.0,1,3.68,0.0,75.0,14645015,4
27,300.0,B6314B0058-1-LAMA300,2022-02-14T14:33:29.334Z,0.0,0.0,,8202,5000.0,1,5.33,0.0,1.6,14827821,2
28,8.0,AGGRE115M-2-302_2,2022-02-14T14:33:59.400Z,0.0,0.0,,8203,4500.0,1,3.92,0.0,75.0,14842854,4
29,8.0,AGGRE115M-2-302_2,2022-02-14T14:33:43.534Z,0.0,0.0,,8203,4500.0,1,5.72,0.0,75.0,14834921,4
30,8.0,AGGRE115M-2-302_2,2022-02-14T14:33:48.938Z,0.0,0.0,,8203,4500.0,1,3.59,0.0,75.0,14837623,4
31,300.0,B6314B0058-1-LAMA300,2022-02-14T14:38:38.752Z,0.0,0.0,,8209,5000.0,1,5.29,0.0,1.6,14982529,2
32,8.0,AGGRE115M-4-302_1,2022-02-14T14:39:04.140Z,0.0,0.0,,8210,4500.0,1,6.03,0.0,75.0,14995223,4
33,8.0,AGGRE115M-4-302_1,2022-02-14T14:39:10.868Z,0.0,0.0,,8210,4500.0,1,3.47,0.0,75.0,14998587,4
34,8.0,AGGRE115M-4-302_1,2022-02-14T14:39:16.828Z,0.0,0.0,,8210,4500.0,1,3.76,0.0,75.0,15001567,4
35,8.0,AGGRE115M-4-302_1,2022-02-14T14:39:33.908Z,0.0,0.0,,8210,4500.0,1,3.59,0.0,75.0,15010107,4
