,LUNG,DIAM,VibromPeak,statorCelsius,numTP,idChiave,statoRot,rpmSetPoint,bearingsCelsius,UTE,spindleRpm,CurrentPeak,@timestamp,ist_acc
0,224.3,160.0,0.4,29.0,1,7279,1,9130.0,22.0,10,8264.0,15.664,2022-02-02T14:31:49.395Z,5174998
1,225.0,170.0,0.4,29.0,1,7280,1,8600.0,22.0,12,7865.0,15.281,2022-02-02T14:32:25.489Z,5193045
2,1.8,270.0,0.4,23.0,1,7281,1,5500.0,21.0,ASC13243_BAN-1-LAMA270,4970.0,15.251,2022-02-02T15:27:42.322Z,6851449
3,86.0,4.0,0.4,24.0,1,7283,1,3000.0,21.0,AGGRE110H-3-FM_4,2702.699,15.281,2022-02-02T15:28:46.470Z,6883523
4,212.0,165.0,0.5,23.0,1,7286,1,8870.0,22.0,36,8013.0,21.092,2022-02-02T15:37:01.748Z,7131162
5,226.8,150.0,0.5,24.0,1,7287,1,9750.0,22.0,22,8828.0,19.056,2022-02-02T15:37:32.162Z,7146369
6,211.0,165.0,0.4,25.0,1,7288,1,8870.0,22.0,37,7970.0,18.319,2022-02-02T15:38:27.120Z,7173848
7,1.8,270.0,0.5,23.0,1,7289,1,5500.0,21.0,ASC13243_BAN-1-LAMA270,4921.699,15.192,2022-02-02T16:02:11.640Z,7886108
8,226.8,150.0,0.5,24.0,1,7290,1,9700.0,21.0,22,8744.0,20.266,2022-02-02T16:02:41.209Z,7900893
9,1.8,270.0,0.5,21.0,1,7294,1,5500.0,20.0,ASC13243_BAN-1-LAMA270,4998.699,15.31,2022-02-03T12:45:01.352Z,10279498
10,86.0,4.0,0.4,23.0,1,7296,1,3000.0,20.0,AGGRE110H-3-FM_4,2724.149,15.222,2022-02-03T12:47:24.818Z,10351231
11,226.8,150.0,0.4,23.0,1,7297,1,9750.0,19.0,22,8905.0,19.646,2022-02-03T12:48:31.964Z,10384804
12,226.8,150.0,0.3,26.0,1,7298,1,9750.0,20.0,22,8916.0,19.764,2022-02-03T12:53:11.560Z,10524602
13,184.0,165.0,0.9,26.0,1,7299,1,8870.0,20.0,38,8099.0,19.764,2022-02-03T12:53:44.670Z,10541157
14,226.8,150.0,0.4,27.0,1,7300,1,9750.0,20.0,22,8846.0,19.617,2022-02-03T12:54:31.432Z,10564538
15,184.0,165.0,0.6,27.0,1,7301,1,8870.0,20.0,38,8116.0,19.292,2022-02-03T12:55:01.836Z,10579740
16,1.8,270.0,0.4,25.0,1,7302,1,5500.0,20.0,ASC13243_BAN-1-LAMA270,4976.299,15.369,2022-02-03T12:59:12.716Z,10705180
17,226.8,150.0,0.4,25.0,1,7304,1,9750.0,20.0,22,8849.0,19.381,2022-02-03T13:00:39.748Z,10748696
18,226.8,150.0,0.3,26.0,1,7305,1,9750.0,20.0,22,8833.0,19.646,2022-02-03T13:02:46.140Z,10811892
19,1.8,270.0,0.5,25.0,1,7306,1,5500.0,20.0,ASC13243_BAN-1-LAMA270,4974.199,15.369,2022-02-03T13:06:39.866Z,10928755
20,86.0,4.0,0.4,25.0,1,7308,1,3000.0,20.0,AGGRE110H-3-FM_4,2727.01,15.281,2022-02-03T13:08:14.406Z,10976025
21,184.0,165.0,0.7,24.0,1,7310,1,8870.0,21.0,38,8107.0,19.646,2022-02-03T13:27:04.902Z,11541273
22,226.8,150.0,0.5,24.0,1,7311,1,9750.0,21.0,22,8877.0,19.764,2022-02-03T13:27:36.560Z,11557102
23,184.0,165.0,0.6,25.0,1,7312,1,8870.0,21.0,38,8128.0,20.0,2022-02-03T13:28:05.896Z,11571770
24,226.8,150.0,0.4,26.0,1,7313,1,9750.0,21.0,22,8879.0,19.912,2022-02-03T13:28:38.010Z,11587827
25,76.0,12.0,1.4,27.0,1,7314,1,9000.0,21.0,AGGRE101-1-FR12,8157.0,15.281,2022-02-03T13:30:22.586Z,11640115
26,226.8,150.0,0.5,27.0,1,7315,1,9750.0,21.0,22,8902.0,19.882,2022-02-03T13:31:04.948Z,11661296
27,184.0,165.0,0.6,27.0,1,7316,1,8870.0,21.0,38,8104.0,19.322,2022-02-03T13:31:48.178Z,11682911
28,1.8,270.0,0.4,24.0,1,7317,1,5500.0,21.0,ASC13243_BAN-1-LAMA270,4998.699,15.31,2022-02-03T13:41:01.508Z,11959576
29,86.0,4.0,0.5,26.0,1,7319,1,3000.0,21.0,AGGRE110H-3-FM_4,2751.319,15.192,2022-02-03T13:43:44.015Z,12040830
30,226.8,150.0,0.4,24.0,1,7321,1,9750.0,22.0,22,8833.0,19.646,2022-02-03T14:02:33.801Z,12605723
31,184.0,165.0,0.5,25.0,1,7322,1,8870.0,22.0,38,8134.0,19.823,2022-02-03T14:03:02.219Z,12619932
32,226.8,150.0,0.4,26.0,1,7323,1,9750.0,22.0,22,8849.0,19.823,2022-02-03T14:03:34.341Z,12635993
33,184.0,165.0,0.7,26.0,1,7324,1,8870.0,22.0,38,8090.0,19.646,2022-02-03T14:04:03.311Z,12650478
